Protein Id,Gene Symbol,DMSO_R1,DMSO_R2,Erl_R1,Erl_R2,Lap_R1,Lap_R2,Sor_R1,Sor_R2,Sun_R1,Sun_R2
sp|P55011|S12A2_HUMAN,SLC12A2,9.89743,9.3676,10.0167,10.4932,9.9067,9.6087,9.38695,10.3131,10.7652,10.2445
sp|O60341|KDM1A_HUMAN,KDM1A,10.1473,10.1913,9.4783,9.07572,9.71667,9.89857,10.1963,10.931,10.1911,10.1737
sp|Q8WXD9|CSKI1_HUMAN,CASKIN1,9.13687,10.6757,10.4034,9.96057,10.5612,10.293,9.04238,8.39468,11.1903,10.342
sp|Q8WXE0|CSKI2_HUMAN,CASKIN2,10.2955,10.0628,10.2634,10.1807,10.4693,10.8618,9.7028,9.91722,9.32869,8.9178
sp|Q9UK45|LSM7_HUMAN,LSM7,9.81066,9.59639,10.1516,9.36282,9.47714,9.52137,10.0624,10.9016,11.1087,10.0074
sp|Q9NYV4|CDK12_HUMAN,CDK12,9.93074,9.97904,9.68163,9.4771,10.1362,9.39962,9.34494,9.862,11.1053,11.0835
sp|A8MW92|P20L1_HUMAN,PHF20L1,8.77847,9.18979,10.5809,9.80719,10.2636,10.6603,9.50412,8.96169,11.545,10.709
sp|P24941|CDK2_HUMAN,CDK2,10.4611,9.63826,9.42248,8.82885,7.75371,8.43335,10.768,10.5168,12.0789,12.0985
sp|P07947|YES_HUMAN,YES1,9.19465,10.1492,10.2664,9.75902,10.0207,10.2116,9.9877,9.58845,10.4656,10.3567
sp|P12931-2|SRC_HUMAN,SRC,9.24522,8.37773,10.1756,9.634,9.61644,10.6863,9.71619,10.2044,11.5983,10.7458
sp|P50750-2|CDK9_HUMAN,CDK9,9.76475,9.562,11.0799,9.3996,9.40464,9.54828,9.58897,10.1837,10.5536,10.9144
sp|P07948-2|LYN_HUMAN,LYN,10.8174,10.224,10.0355,9.92533,8.96849,9.38938,9.54398,9.37564,11.0014,10.7188
sp|Q00534|CDK6_HUMAN,CDK6,7.8505,8.30223,10.4393,10.0766,9.05828,9.59609,7.83731,8.15798,13.8366,14.8451
sp|P06493|CDK1_HUMAN,CDK1,10.8501,10.6398,7.3416,7.32217,6.63961,7.30378,11.6228,13.3381,13.4658,11.4763
sp|Q00535|CDK5_HUMAN,CDK5,9.83914,10.0989,9.61368,9.99824,9.72219,9.60646,10.7693,10.5918,9.72365,10.0366
sp|P11802|CDK4_HUMAN,CDK4,9.27273,8.64712,9.24196,9.37846,10.9812,10.6474,11.8729,11.6572,8.54129,9.75975
sp|P06241|FYN_HUMAN,FYN,9.88838,9.2154,9.98054,9.2026,10.5551,9.83106,10.2704,10.2105,10.3551,10.491
sp|Q14004|CDK13_HUMAN,CDK13,9.77927,10.0117,10.0686,9.70727,9.76028,9.93128,9.05485,10.0502,11.0795,10.5571
sp|P11362-21|FGFR1_HUMAN,FGFR1,0,0,0,0,0,0,0,0,0,0
sp|Q00536-2|CDK16_HUMAN,CDK16,11.668,11.5939,10.2651,11.0655,11.1408,10.4444,7.79332,7.76875,9.20207,9.05814
sp|Q07002-3|CDK18_HUMAN,CDK18,15.8774,15.4945,10.3205,10.0277,9.58936,7.79572,8.29757,7.68484,7.48646,7.42602
sp|O94921|CDK14_HUMAN,CDK14,9.28099,10.4838,11.317,10.2688,9.78382,9.9135,8.51327,7.70068,11.5661,11.1721
sp|Q00537|CDK17_HUMAN,CDK17,10.371,9.63673,10.6387,10.9837,10.0692,9.57472,8.51039,8.59245,11.2421,10.3811
