protein_id	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_r3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
sp|P43007|SATT_HUMAN	8.58136	12.1477	7.99032	11.441	12.5562	9.28046	13.0674	9.68579	11.8532	10.1216	9.82396	10.8293	10.0301	7.69635	11.7653	8.50394	10.0549	7.67816	8.08927	8.80379
sp|P43034|LIS1_HUMAN	10.3032	9.57666	10.6124	9.33319	9.89491	9.44243	10.1024	9.70914	9.65243	9.71766	9.86135	10.0275	10.518	10.3212	10.3567	9.7233	10.3058	10.2676	10.1304	10.1437
sp|P43121|MUC18_HUMAN	10.8868	7.88417	9.98056	9.11077	11.2613	7.99757	11.0058	8.81088	8.42054	8.26239	9.48653	9.20267	13.3843	8.18433	8.96828	10.4431	12.2874	11.4313	7.7826	15.2088
sp|P43155|CACP_HUMAN	9.20196	9.53346	9.20327	10.1437	9.40008	10.6252	9.53768	10.2987	9.81731	10.9316	10.3085	10.6786	9.21176	11.4594	10.0853	10.543	8.98691	10.8323	9.29599	9.90529
sp|P43243|MATR3_HUMAN	9.46044	10.5448	9.69279	9.83803	10.2249	10.5684	9.42862	10.6877	10.0675	10.8398	10.0855	10.4982	9.30413	10.0388	10.0387	10.2116	9.52636	9.42485	9.9323	9.58657
sp|P43246|MSH2_HUMAN	8.08108	10.1462	9.19866	9.54164	9.27869	12.4283	9.21078	11.1163	8.82103	13.0034	9.08987	12.2933	7.4981	11.1976	9.65304	10.6341	9.55844	9.98712	9.59927	9.66313
sp|P43304|GPDM_HUMAN	9.00503	9.52919	9.18754	10.4608	9.14418	11.5089	9.78531	10.2624	10.1786	10.9775	10.0607	10.9311	8.92903	10.9039	9.64258	10.507	9.01192	10.8117	9.04757	10.115
sp|P43307|SSRA_HUMAN	10.3152	9.7412	10.6718	11.285	10.4042	8.62744	11.09	9.55295	11.0593	8.46539	10.4812	7.99681	11.7675	9.13794	10.6174	10.0391	10.9243	9.55758	10.0437	8.22203
sp|P43378|PTN9_HUMAN	9.35343	10.1928	8.33944	8.82129	9.54694	10.0224	10.5423	10.3629	10.662	10.3908	9.97532	10.3567	9.58704	10.6869	10.0855	10.1786	9.53663	10.021	10.8674	10.4705
sp|P43487|RANG_HUMAN	9.15387	9.09419	10.4925	10.4721	10.5641	10.0895	9.19646	10.5131	11.6145	9.5995	8.88615	11.052	10.3671	9.19637	8.88684	10.1537	10.3394	9.98146	9.93605	10.4112
sp|P43490|NAMPT_HUMAN	10.3914	10.0742	10.355	9.66081	9.5014	9.84382	9.61941	9.98376	9.70771	9.93924	10.0071	9.55365	9.3054	10.6202	10.209	10.1981	10.0931	10.5235	10.8066	9.60647
sp|P43686|PRS6B_HUMAN	9.86349	10.1818	10.1333	10.0336	9.94615	9.8562	10.203	9.16821	9.91461	9.89268	9.40731	9.91835	9.5914	10.3779	10.3352	10.1367	9.90777	10.4679	10.3568	10.3076
sp|P43694|GATA4_HUMAN	10.2582	10.1802	9.31011	8.90053	9.91103	9.28177	11.465	9.15958	9.62092	9.26615	9.35226	10.5702	10.2907	9.91034	11.4744	10.4144	8.72047	12.5603	9.38147	9.97199
