protein_id	D311	U311	S311	E311	L311	D312	U312	S312	E312	L312	D121	U121	S121	E121	L121	D122	U122	S122	E122	L122	D321	U321	S321	E321	L321	D322	U322	S322	E322	L322
sp|A0AVT1|UBA6_HUMAN	9.97317	9.96432	9.54649	9.73603	9.7164	9.59727	10.3448	10.0239	10.6451	10.4525	10.3016	9.93745	9.57586	10.4775	9.54233	10.0091	10.3572	10.4018	9.74307	9.65418	9.43474	9.78701	9.38822	9.59478	9.87645	9.24136	10.6211	10.4261	11.0398	10.5904
sp|A0FGR8-6|ESYT2_HUMAN	10.5405	9.69102	9.62094	9.88986	10.9204	10.0884	9.92727	10.0331	9.68673	9.60181	9.45972	10.2773	9.81195	10.4878	11.8735	9.73041	10.1162	9.02579	9.73277	9.48465	10.3118	10.439	10.0954	10.2096	10.4426	10.0649	9.24635	9.36045	9.71894	10.1109
sp|A0JNW5|UH1BL_HUMAN	10.1382	10.76	9.33484	10.2359	9.64257	9.67852	11.2529	10.4372	9.33708	9.18295	10.1841	10.7134	9.32782	9.97714	9.8062	9.92274	10.2776	10.9098	10.3739	8.50728	8.72973	9.78349	10.4794	10.4344	10.0494	8.96743	10.9419	10.629	9.99706	9.98813
sp|A0MZ66-3|SHOT1_HUMAN	10.1819	10.9748	10.2379	11.5683	10.1814	8.99393	9.94449	9.28826	10.0933	8.53586	10.0476	10.6351	9.95565	10.7988	9.71707	9.49198	9.73752	9.68463	10.285	9.64659	9.99552	10.6698	9.97207	10.5309	9.20053	9.35406	10.362	9.71617	10.1442	10.0548
sp|A0PJW6|TM223_HUMAN	9.52599	8.82914	9.62004	9.83653	9.38046	9.57512	11.8004	12.5355	9.65938	9.2375	9.16083	9.83349	9.84686	9.7994	11.3239	9.75795	10.8126	8.92007	9.70837	10.8365	9.00829	9.90674	9.5853	9.36024	10.6447	10.9817	9.70838	10.4444	9.27919	11.0811
sp|A1A4S6|RHG10_HUMAN	9.56405	10.9718	9.89615	10.2526	10.1859	9.72465	9.7663	9.06924	10.5858	9.98358	10.1948	10.5078	9.48791	9.43719	10.549	10.6415	9.61645	9.32901	10.1135	10.1228	10.3199	10.2748	9.92579	10.0013	9.27439	9.73974	9.80995	9.93198	10.0609	10.6613
sp|A1IGU5|ARH37_HUMAN	10.4034	9.82648	8.47918	9.30231	8.71295	10.6322	9.80564	11.1624	10.5629	11.1126	8.59924	9.25939	9.08319	11.0788	10.9825	10.028	10.6683	9.65123	9.77808	10.8713	9.95285	11.8962	9.95938	10.6075	9.23861	9.80463	9.20958	7.98191	10.4499	10.8995
sp|A1L0T0|ILVBL_HUMAN	9.68823	8.88661	10.437	9.34114	10.2797	9.78012	10.6428	10.8679	10.1897	9.88682	9.49508	10.1819	9.66529	9.74012	10.9561	10.0926	9.95384	9.776	9.88546	10.2536	9.07135	9.5899	10.4014	9.5993	10.4774	9.99454	10.207	10.9146	9.75057	9.99394
sp|A1L4K1|FSD2_HUMAN	8.84511	9.67866	8.47829	9.86642	9.66976	11.1881	9.15614	11.7259	10.1481	11.2435	8.7538	9.39208	9.34782	9.59927	9.13759	9.93281	11.209	11.2305	10.7087	10.6884	9.40365	10.4032	10.2458	10.7034	10.2699	10.6928	8.90148	9.81409	9.59655	9.96912
sp|A1Z1Q3|MACD2_HUMAN	9.00762	9.69538	8.92809	9.0968	11.0676	9.83433	9.50763	9.38791	12.047	11.4277	9.50028	9.12566	10.0894	9.69655	9.69514	11.0933	9.44534	10.052	10.7745	10.5278	9.94623	10.754	9.6103	9.98081	9.4609	9.45702	9.24727	9.61678	11.3177	10.609
sp|A2A2Y4|FRMD3_HUMAN	9.62576	11.3017	10.3408	10.1233	9.89734	8.83665	9.3279	9.35732	10.1434	11.0459	9.20407	10.8485	10.9387	9.0093	12.1316	9.68552	10.0754	8.54919	9.74278	9.81495	9.96544	9.6702	9.52699	9.32036	7.50251	9.44405	12.8222	9.69534	9.71039	12.3425
sp|A2A2Y4-4|FRMD3_HUMAN	9.48625	10.6195	7.23524	10.4704	10.6019	10.0981	9.03911	7.98621	11.7125	12.7508	9.79043	11.3647	7.38754	8.73811	9.42313	9.82758	10.8752	9.95563	10.9053	11.7324	11.9497	9.3478	10.1607	9.57622	7.77795	9.82568	11.1014	9.65393	9.77273	10.8339
sp|A2RRP1|NBAS_HUMAN	9.24759	9.57364	10.1811	9.8245	10.652	9.77137	10.1882	10.6289	10.0157	9.91705	9.67174	10.1458	9.90504	9.85388	10.5274	10.0257	9.90033	9.79438	9.85513	10.3206	9.30509	9.62936	9.95267	9.61151	10.239	9.74545	10.2227	10.8349	10.2346	10.2248
sp|A2RTX5|SYTC2_HUMAN	10.0409	9.90674	9.4858	9.86858	10.0424	9.16026	10.6346	10.7409	9.94665	10.1732	9.64508	10.413	9.52287	9.95636	10.2962	10.4711	10.0788	9.90738	9.56606	10.1432	10.1579	10.3806	10.0111	10.0002	9.5554	9.12964	10.3622	10.5179	9.97278	9.91231
sp|A2RUC4|TYW5_HUMAN	9.43396	10.0246	9.58807	10.0211	9.43536	9.92508	10.6353	11.0976	9.84763	9.99141	9.6342	9.3861	12.7635	10.5995	11.0099	9.50904	8.96607	8.62235	9.38064	10.1287	9.49051	9.79362	10.0159	9.7325	9.33753	10.0211	10.4248	9.61201	11.0914	10.4806
sp|A2RUH7|MBPHL_HUMAN	10.3326	11.8018	9.09195	10.795	10.4304	11.5247	8.94175	10.192	7.91795	8.97186	10.2898	9.49114	10.1269	10.0501	10.4613	9.32592	10.0711	10.9364	9.45767	9.78972	12.81	13.2859	9.62016	10.2856	11.3987	9.95801	8.42845	7.69947	7.86529	8.64837
sp|A3KMH1|VWA8_HUMAN	9.5672	9.17788	9.98338	9.65112	10.0718	9.64882	10.5686	10.5864	10.426	10.3189	9.9945	9.90441	10.0178	9.89838	9.8465	10.0097	10.164	10.063	10.1095	9.99214	9.39156	9.76245	10.1519	10.0156	10.1313	10.0254	9.87509	10.2854	10.103	10.2585
sp|A3KN83|SBNO1_HUMAN	9.92923	9.6443	10.1685	9.39146	9.79448	10.0596	9.83823	9.62181	10.538	11.0143	9.90477	9.82106	9.95193	9.92727	10.2121	10.0263	9.69853	9.64085	10.608	10.2092	10.1319	10.7194	9.81985	9.14337	9.92194	9.81228	9.77652	10.6878	9.03066	10.9562
sp|A4D126|ISPD_HUMAN	9.02945	10.4056	9.36014	10.4841	8.92206	10.8518	9.35758	10.7609	9.75089	11.0775	9.51885	10.8268	9.4129	10.1162	10.6532	10.2481	9.77727	9.71871	9.63596	10.0921	9.98094	10.4257	9.82778	10.1264	10.0186	10.1663	9.6424	10.0432	9.815	9.95367
sp|A4D1E9|GTPBA_HUMAN	8.48374	8.3243	9.10007	9.44895	10.3015	10.6422	11.4471	12.744	9.64532	9.86283	9.91749	10.2767	9.59261	9.26557	10.1011	9.57225	11.8937	9.94135	9.75829	9.68096	9.09406	8.82161	9.37041	9.21826	9.12903	9.90893	13.0321	13.0012	9.28713	9.13731
sp|A4D1P6|WDR91_HUMAN	9.20682	8.95351	8.28692	9.54644	9.53876	10.2109	10.913	10.7559	11.6521	10.9357	9.97945	9.58921	10.3645	10.3437	10.0495	9.95618	9.9772	9.77767	9.84772	10.1149	8.7941	10.1202	10.3842	9.45486	10.4224	9.3587	9.5885	9.73846	10.7627	11.376
sp|A4UGR9|XIRP2_HUMAN	11.9071	14.0895	14.0725	12.3312	10.4743	10.7046	6.64079	6.10538	6.69319	6.98138	11.291	10.3652	10.8452	11.1551	9.56241	9.53179	9.92908	9.88132	8.84457	8.59438	13.4347	11.9619	11.4872	13.4073	11.4604	9.82507	9.44907	6.61129	6.13322	6.22987
sp|A4UGR9-6|XIRP2_HUMAN	12.0937	11.8691	12.7346	11.5817	9.86025	9.85873	9.15997	8.46342	7.1793	7.19926	11.2906	9.40977	10.9803	10.7051	9.95425	8.5377	10.4232	10.359	9.70384	8.63614	11.6129	11.5369	9.24297	10.3158	10.8949	9.51663	11.8611	9.1427	8.47215	7.40402
sp|A5PLL7|TM189_HUMAN	9.25527	10.2382	9.87869	9.85282	11.9981	11.201	9.07255	10.5011	8.15676	9.84543	11.7831	9.96616	10.6527	10.3114	11.6125	9.40709	9.43987	9.05931	9.05026	8.71764	11.0698	9.91033	10.4879	10.4434	9.90437	10.3561	10.3828	10.0953	8.41488	8.93509
sp|A5PLN9-5|TPC13_HUMAN	9.52033	10.4161	9.31683	10.5454	10.1784	10.8121	9.63242	9.998	9.3588	10.2217	9.48052	10.5431	9.01942	10.6663	9.29875	11.1462	9.40585	10.9948	8.79225	10.6528	9.41121	9.84581	10.1159	10.0616	10.5869	9.83442	9.19882	10.5934	10.6129	9.73903
sp|A5YKK6|CNOT1_HUMAN	10.4159	10.1474	11.2598	10.2649	10.5186	9.77695	9.55694	9.00817	9.63623	9.41508	9.81492	9.57695	10.4541	9.81707	11.6213	10.1493	9.95204	9.19099	9.52585	9.89746	9.55745	9.53553	10.1682	10.0918	10.0097	9.85346	10.1738	10.491	10.1622	9.95689
sp|A6NCE7|MP3B2_HUMAN	9.77805	10.3422	11.7654	11.6159	10.8529	9.63964	11.7667	9.62091	7.33499	7.28325	9.49171	9.64603	10.6455	10.1544	13.3644	9.59921	11.771	9.4207	7.74008	8.16702	7.7715	6.44219	9.38543	10.6487	10.6571	10.3519	12.3016	11.2477	11.1962	9.99776
sp|A6NDG6|PGP_HUMAN	9.53798	9.5384	9.23595	9.60728	8.98621	9.98012	10.8518	11.0145	10.6556	10.5923	9.99033	10.3038	9.46371	10.3724	9.7635	10.3712	9.45455	10.5209	9.91794	9.84176	10.1579	10.0668	9.93132	9.919	8.98384	9.98773	10.8677	10.6812	9.60316	9.80136
sp|A6NDU8|CE051_HUMAN	9.96761	10.4671	9.29122	9.81907	10.1315	10.042	10.4298	10.6106	9.50606	9.73506	9.7918	9.16631	10.432	9.01453	10.3607	9.4051	11.0548	9.51158	10.9236	10.3396	9.68	10.0322	9.75331	9.79881	10.4905	10.3656	10.314	10.0093	9.5784	9.978
sp|A6NGB9|WIPF3_HUMAN	13.0054	13.0531	8.14625	8.91843	10.3742	9.67876	10.8341	9.95573	7.75021	8.28376	9.88403	11.0867	9.82743	10.9685	8.83621	9.90086	10.0535	10.834	9.43184	9.17706	11.1413	12.7591	10.1379	10.5149	9.49215	9.57089	8.91389	9.59119	9.46628	8.41245
sp|A6NHL2|TBAL3_HUMAN	10.1257	10.8691	9.20543	10.5614	11.1964	8.05647	10.21	10.3661	9.54666	9.86268	10.9602	9.51137	10.7645	9.99487	10.3728	9.08428	10.8935	8.67819	10.4256	9.31463	8.40878	9.64743	10.2624	9.22929	11.0726	8.69591	9.65092	10.6543	10.4491	11.9293
sp|A6NHR9|SMHD1_HUMAN	9.39108	9.68254	8.77161	9.59819	9.8696	9.9644	10.1871	10.6864	10.7797	11.0694	9.80561	10.5363	9.58654	9.61511	9.52614	10.4031	9.73772	10.1497	10.4288	10.211	9.8599	9.95069	9.95666	9.31608	9.91414	9.61554	9.81183	10.4891	10.3114	10.7747
sp|A6NI28|RHG42_HUMAN	9.2636	11.815	9.24681	9.89131	10.0413	11.5713	10.5125	8.32247	9.30402	10.0317	10.7006	11.0354	10.7167	8.2209	11.151	9.3484	11.163	10.1006	8.64571	8.91767	9.50906	10.1893	17.2264	19.914	9.38541	11.6059	5.94505	4.21068	4.62095	7.39322
sp|A6NIH7|U119B_HUMAN	9.76082	7.05363	8.29714	10.132	11.2036	10.7514	11.6737	12.1709	9.44508	9.51175	10.5052	9.41907	9.32691	11.811	10.4523	10.7257	9.10543	11.0403	8.90727	8.70688	9.1693	10.7854	10.5937	9.68433	10.385	9.04143	10.5803	10.7203	9.94518	9.09503
sp|A6NIZ1|RP1BL_HUMAN	10.2156	9.75865	10.4268	10.0545	10.3457	8.90271	10.3007	9.05356	11.2417	9.70008	9.71935	12.3924	9.29359	11.2581	9.63723	10.5682	8.43216	9.96653	9.08454	9.64799	9.49336	9.66913	9.76521	10.2188	10.2254	10.1655	10.1094	9.98913	10.1559	10.2083
sp|A6NJ78|MET15_HUMAN	8.95301	9.21074	9.0007	9.7871	10.0672	9.8785	10.5426	10.811	10.9492	10.8	9.28645	9.83496	10.5375	9.83798	9.78657	9.7788	9.91835	10.3641	10.3142	10.3412	10.3597	8.97739	9.40908	9.83537	9.38633	10.9035	11.2021	10.6827	9.65783	9.58604
sp|A6NKD9|CC85C_HUMAN	10.8097	10.7504	8.31228	10.1835	11.2976	11.3782	8.66811	8.18157	10.2991	10.1194	9.05987	10.2969	9.5894	10.7989	9.44165	10.9806	9.19532	10.1269	11.6259	8.88451	10.8115	10.5907	9.94888	9.60454	10.6573	10.819	8.7339	9.13058	9.48047	10.223
sp|A6NNH0|GATL1_HUMAN	9.63454	9.69995	7.90907	9.61862	8.30235	9.73611	8.15057	9.3088	13.6014	14.0386	11.2427	8.05853	8.94215	10.1812	13.9775	10.9391	6.16013	9.15857	9.60847	11.7316	9.51704	9.88229	10.6238	10.2283	9.54271	10.5677	7.82659	7.79659	11.3714	12.6435
sp|A6ZKI3|F127A_HUMAN	10.3556	8.85127	10.0087	9.55631	11.518	9.61364	9.74978	8.9927	11.0828	10.2712	9.33828	8.72144	10.2185	10.6727	12.3782	9.59105	10.7522	9.34409	9.71045	9.27308	10.4674	10.1663	9.83523	9.22307	9.8252	10.3256	9.51583	9.84109	10.5673	10.233
sp|A7E2V4-2|ZSWM8_HUMAN	9.08641	10.251	11.6962	10.6084	10.4884	9.76089	8.20247	8.97839	10.2391	10.6887	9.56203	11.2734	10.7458	9.47234	10.1713	9.96007	9.462	8.86943	9.8337	10.6499	10.0654	10.1292	11.0669	12.5707	12.282	9.77963	8.42456	8.93679	7.9069	8.83796
sp|A7E2Y1|MYH7B_HUMAN	10.9346	11.8999	12.1306	11.5656	10.1271	11.9144	7.58038	6.90217	8.31541	8.62978	10.6204	10.2504	10.4133	9.44416	8.96257	10.0071	9.66442	9.60596	10.6333	10.3984	11.0692	10.0834	10.0895	10.9044	11.64	10.8999	8.95073	7.63809	9.14349	9.58123
sp|A8MWD9|RUXGL_HUMAN	9.39738	9.75055	8.88536	9.92005	9.79895	10.5749	9.77534	10.2498	10.453	11.1947	9.89799	12.9163	9.31114	10.0634	9.16826	10.265	9.12484	10.0509	9.83571	9.36645	9.65263	9.91757	10.5682	10.1798	9.34838	10.2046	9.01837	10.2176	10.4025	10.4903
sp|A8MWY0|K132L_HUMAN	8.99484	8.19713	9.52549	9.94147	9.88898	10.7432	9.717	9.80673	11.9729	11.2122	9.96215	9.5326	10.2719	9.67099	10.418	10.4831	9.80269	9.10168	10.7172	10.0398	8.64973	8.8928	9.67766	9.36445	10.2593	10.6408	8.87255	9.64613	11.6662	12.3304
sp|A8MXV4|NUD19_HUMAN	9.81977	9.091	9.51091	8.98961	8.93099	8.7789	10.7862	11.2472	11.3155	11.53	9.78919	8.7806	10.387	8.70983	11.5326	9.75815	10.3323	9.2561	10.7637	10.6906	9.62435	10.0281	11.5336	9.9197	9.36894	9.29667	10.1095	9.67361	9.25711	11.1884
sp|A9UHW6-3|MI4GD_HUMAN	9.55197	10.5768	9.76581	10.9079	10.8234	9.49843	9.36419	9.8979	9.39534	10.2183	10.608	10.5469	9.53076	10.3156	10.4276	9.84077	9.80548	10.1281	9.09332	9.70338	11.0091	10.0847	9.76359	9.26587	9.06722	11.9141	11.0872	8.41329	8.5838	10.8112
sp|B0YJ81|HACD1_HUMAN	8.0786	11.9774	9.85611	11.2937	10.64	10.7159	8.43262	9.24286	9.28561	10.4772	8.99307	10.9348	9.71054	9.2135	10.2875	10.36	10.2056	9.66143	10.2081	10.4254	10.1707	9.00457	10.5834	9.31504	10.7476	10.5254	8.77271	9.97679	10.0725	10.8313
sp|B2RTY4-4|MYO9A_HUMAN	9.44679	10.9871	10.6931	10.0739	10.1343	10.4831	10.127	8.76073	9.23221	10.0618	9.89447	9.9809	10.2187	10.0395	10.0182	10.7321	9.39283	9.84311	9.85521	10.025	9.92219	10.1586	10.6448	11.9002	10.1967	9.46738	9.18339	9.00594	9.08091	10.4399
sp|B5ME19|EIFCL_HUMAN	10.4573	11.2175	11.0231	10.6667	9.92996	10.1511	9.49125	9.94133	8.95751	8.16428	10.2168	9.98326	11.0192	10.0595	11.5074	9.7549	10.2239	9.26345	9.01963	8.95195	10.0293	9.92483	11.0109	10.8359	10.4015	9.73207	9.95209	9.70118	9.0156	9.39669
sp|C9JLW8|F195B_HUMAN	10.3159	11.4512	11.3116	11.1921	11.6064	10.0808	8.07193	7.90094	8.95544	9.11371	9.92001	8.44015	11.214	10.0043	9.45532	10.275	10.1528	10.6221	10.2196	9.69667	9.69498	10.4299	10.5763	8.67669	10.7193	11.3768	6.94819	9.01861	12.2262	10.333
sp|C9JRZ8|AK1BF_HUMAN	10.3529	10.5393	10.1543	10.1125	9.90052	9.97448	9.33445	9.21973	10.2606	10.1513	9.65272	11.244	8.93011	9.99921	9.41576	9.82685	10.2176	9.49032	10.1996	11.0239	9.2921	9.7517	10.2855	9.80648	9.01154	10.2661	10.8697	10.3803	10.2105	10.1261
sp|E7EW31|PROB1_HUMAN	10.4336	10.4647	10.4444	11.059	10.0021	10.4129	9.1186	9.40609	9.29426	9.36448	9.72963	9.72619	10.2264	11.5005	10.0489	9.96518	9.39979	10.2645	9.54324	9.59572	11.1286	12.4101	11.0841	11.0725	9.60995	9.67149	8.15961	8.49712	9.18861	9.17797
sp|O00115|DNS2A_HUMAN	9.13474	9.47473	9.06424	10.7095	11.889	10.7705	9.30096	8.28057	10.1911	11.1847	9.59836	9.08175	10.5504	9.21223	9.5436	9.66527	10.2064	9.87986	11.7629	10.4991	10.6545	11.0894	8.16299	10.6003	9.67162	10.0754	8.08954	9.5173	11.9909	10.1481
sp|O00116|ADAS_HUMAN	10.6014	10.2714	11.465	11.1346	5.53442	5.18612	12.0548	11.9618	11.1198	10.6706	10.2545	10.2377	10.2877	10.5422	7.92689	7.99764	10.4128	10.4593	11.0042	10.877	10.6383	10.9027	11.5655	10.8136	5.39993	5.59351	10.8799	12.0061	11.2644	10.9361
sp|O00139-4|KIF2A_HUMAN	9.79591	10.8533	9.92594	10.2572	9.50182	10.3468	9.60882	10.3222	9.32048	10.0676	9.38627	10.053	10.232	10.3109	11.4494	10.4108	8.72854	10.1724	9.25028	10.0064	9.97269	9.72712	10.3554	9.84133	9.55798	9.3142	10.5815	10.3273	10.3021	10.0204
sp|O00148|DX39A_HUMAN	10.2209	10.4427	8.27096	9.94806	10.653	9.11854	11.0611	10.2383	10.1873	9.85914	10.5232	11.298	8.18511	9.28017	10.1309	10.7594	8.60456	10.7343	8.71376	11.7707	9.30512	9.80057	9.4598	9.38608	8.07961	8.86678	12.4084	13.3802	9.83114	9.48236
sp|O00151|PDLI1_HUMAN	10.1401	10.4187	10.1185	10.503	9.87295	10.0824	10.0178	9.43321	9.78544	9.62778	10.1654	9.84607	9.43626	10.0412	9.42741	9.91011	10.2159	10.0235	10.6532	10.281	10.2093	10.2551	9.63556	10.1312	10.3715	9.90377	9.78612	9.69176	10.3311	9.68468
sp|O00154|BACH_HUMAN	9.96379	9.48348	10.1699	9.89308	10.5753	9.31449	10.554	10.7681	9.75964	9.51821	10.0984	9.72757	10.0501	9.55521	9.88187	10.0569	10.3606	10.3049	9.93029	10.0341	10.1817	10.0298	9.76005	9.35112	9.85684	9.79407	10.767	10.4704	9.7792	10.0098
sp|O00159|MYO1C_HUMAN	10.3262	9.70577	10.6096	9.87526	9.97794	9.04465	9.89278	9.57262	10.5799	10.4153	10.1072	9.71911	10.123	9.69531	10.389	9.79067	10.0377	9.59042	10.5045	10.0431	9.98961	9.73553	10.699	10.4863	10.0354	9.65764	9.53118	9.20821	10.0496	10.6075
sp|O00161|SNP23_HUMAN	9.20903	9.75268	9.19533	9.98429	10.1198	10.1111	9.93274	10.3077	10.9047	10.4826	9.64624	9.69679	9.45418	10.095	9.29728	10.0585	9.46186	10.3544	10.5803	11.3554	10.1852	9.5401	9.36126	8.94387	9.89633	10.5366	10.2706	10.9484	10.3391	9.97849
sp|O00165-2|HAX1_HUMAN	8.88962	11.1374	9.17599	9.99842	8.95312	9.61962	9.97622	12.7841	9.29423	10.1713	9.66402	10.5793	10.1558	10.204	9.91533	9.54623	10.8468	10.0107	9.55957	9.51827	8.88554	9.69789	9.12888	9.52312	10.4424	10.216	11.542	11.0127	9.91434	9.63715
sp|O00170|AIP_HUMAN	10.2467	9.98859	9.41834	9.81573	9.68993	9.3644	10.5431	10.6118	10.4412	9.88021	10.3869	9.6295	9.77865	10.5229	9.74089	10.019	10.0961	10.3302	10.0422	9.45359	10.1894	10.0908	10.3397	9.14587	9.47789	9.80538	10.4984	10.5865	9.94844	9.91756
sp|O00178|GTPB1_HUMAN	9.68715	11.8447	9.09265	9.78211	9.62405	8.85009	10.1549	10.3207	10.4051	10.2385	9.29044	10.1624	9.81626	10.121	10.5457	10.0101	10.2393	10.0124	9.90814	9.89422	10.2564	10.0598	9.6651	9.73005	9.93391	9.28797	10.0337	10.2961	10.4262	10.3107
sp|O00186|STXB3_HUMAN	9.42611	9.26128	9.32811	9.8429	9.55263	10.1176	9.64559	9.89924	11.5436	11.3829	10.0643	10.5474	9.9125	9.91836	9.72663	9.83291	9.65281	9.46343	10.7493	10.1324	9.90904	9.28936	9.60521	9.64914	9.28619	9.93068	10.2409	9.93795	10.9846	11.167
sp|O00189|AP4M1_HUMAN	9.75547	9.57513	9.96462	10.195	11.236	10.0153	9.24679	9.20087	10.3243	10.4865	9.59293	9.58709	10.1986	10.3584	10.5978	10.7047	9.64398	8.94575	10.4307	9.94003	9.6897	9.46405	10.4702	10.6481	10.4045	9.68184	9.99376	10.2323	9.18458	10.2309
sp|O00192|ARVC_HUMAN	9.83567	10.6182	12.5018	11.0101	9.78267	10.3322	8.95471	8.6341	8.91741	9.4131	10.5022	10.4028	11.1797	10.1431	9.65358	9.72978	9.73369	9.27843	9.81864	9.55807	10.2071	9.01981	11.3387	11.0256	10.9919	9.87108	10.1845	8.51124	9.21713	9.63299
sp|O00193|SMAP_HUMAN	8.90813	10.7081	9.32903	9.78596	9.57334	9.72849	9.30867	9.8426	11.1291	11.6866	10.4172	8.95211	10.4299	9.24946	9.57858	9.58691	10.3637	9.23969	12.0574	10.1251	9.61833	9.80037	8.92797	9.25547	10.92	9.73445	8.89397	10.7033	10.9588	11.1874
sp|O00203|AP3B1_HUMAN	10.3776	9.85538	10.512	10.0093	10.25	10.3676	10.5115	10.4828	8.8828	8.75109	9.55446	10.2638	10.0516	10.5613	10.4318	10.6072	9.73369	10.087	9.13681	9.57232	9.82435	10.0001	9.82617	9.55756	10.1961	9.76161	10.3043	10.8406	9.92743	9.7618
sp|O00213|APBB1_HUMAN	11.4438	12.1116	11.1054	11.0257	9.72369	10.0922	10.0007	8.63367	7.98229	7.88091	10.9995	11.083	10.5508	10.8502	9.07025	10.0789	10.2736	10.2559	8.73844	8.0993	11.0045	10.52	10.5991	10.6901	9.57183	9.01251	9.44028	10.3466	9.81899	8.99627
sp|O00214-2|LEG8_HUMAN	11.1189	11.2829	11.9564	10.5618	9.0743	10.2237	9.0544	9.281	8.20232	9.24435	10.7176	9.98202	10.7961	10.2685	10.273	9.53238	10.5529	9.89721	8.80125	9.17897	11.3383	10.7461	11.0397	11.0706	10.1216	9.05451	9.16316	9.59997	9.16272	8.70336
sp|O00217|NDUS8_HUMAN	9.64293	9.80759	9.29633	9.94744	9.95712	10.1018	10.0734	10.6463	10.2391	10.2881	9.7475	10.4824	9.13353	10.5994	8.98267	10.0733	9.67443	10.714	10.0321	10.5606	9.44049	9.51568	9.10427	8.95956	10.026	10.5148	10.5402	11.1577	10.7959	9.94544
sp|O00231-2|PSD11_HUMAN	9.75423	9.89494	9.64631	9.8595	9.9481	9.92635	10.3276	10.5323	10.1122	9.99854	9.94965	10.0243	9.83981	9.90222	9.88406	10.2513	10.376	10.0333	9.8452	9.89425	10.5299	9.66422	9.7356	9.06375	8.48298	10.491	12.3504	10.0236	9.70248	9.95604
sp|O00232|PSD12_HUMAN	10.1981	9.41625	9.91012	9.72497	10.0154	9.4424	10.0836	10.8588	10.0898	10.2607	9.83379	9.50178	10.0624	9.67858	10.8975	9.78794	10.2869	9.59281	10.2526	10.1058	10.21	10.0717	9.01945	9.49175	9.07491	10.2555	11.8272	10.535	9.76795	9.74654
sp|O00233|PSMD9_HUMAN	9.82989	9.73699	9.56797	9.45296	9.73505	9.97416	10.5462	9.819	10.8646	10.4731	9.89054	10.0149	9.77715	10.3259	9.64662	10.0234	10.0899	10.1831	10.4047	9.64379	9.95767	9.91857	9.40065	9.18079	10.0349	9.51983	10.2425	10.2813	11.046	10.4178
sp|O00244|ATOX1_HUMAN	9.7079	10.2485	9.5777	9.33363	10.6968	9.66515	10.4551	9.34	11.2605	9.71473	9.24293	10.1278	9.24771	10.7378	9.12995	10.9517	9.12906	11.4891	9.33022	10.6137	9.30586	10.3098	9.60065	8.49546	11.6185	9.9715	7.78234	10.5405	12.7318	9.64353
sp|O00258|WRB_HUMAN	9.88059	9.2323	10.4406	10.0968	11.189	9.22197	10.057	9.8885	10.0223	9.97097	8.90552	9.29232	10.8981	10.8604	10.6098	10.7566	9.82849	9.95784	9.82267	9.06822	8.9815	9.27327	10.3469	9.90626	8.49736	10.0742	10.0097	12.5147	9.94606	10.4501
sp|O00264|PGRC1_HUMAN	8.62616	9.67974	10.5034	10.1385	11.4007	10.3415	9.28448	8.84161	10.9694	10.2145	9.55227	9.73013	10.8026	10.4087	9.84597	10.2326	9.53567	10.3859	10.008	9.49814	10.0297	8.51881	9.41303	9.24584	10.113	10.1116	10.5818	10.8725	10.4382	10.6756
sp|O00267|SPT5H_HUMAN	9.52548	9.07523	9.20479	11.1255	10.0982	10.1887	9.78818	10.042	10.2832	10.6688	9.96849	9.92856	10.2875	9.71959	10.6972	10.1452	10.0823	9.57011	9.98066	9.62045	9.52805	9.99108	10.0949	9.98764	10.0806	9.55418	10.0997	10.0597	10.2004	10.4038
sp|O00268|TAF4_HUMAN	9.92717	12.2243	10.1151	10.121	7.87644	12.3225	9.75625	9.46001	9.8406	8.3566	10.6381	9.57876	11.6449	8.78963	8.95681	8.66989	8.25013	9.07967	14.4143	9.97777	8.61223	10.0168	10.3956	11.3433	10.0899	10.073	7.97899	10.3864	10.2168	10.887
sp|O00273|DFFA_HUMAN	9.61811	11.1007	10.5561	10.3438	9.66305	9.59792	10.0796	10.0304	9.02951	9.98078	9.56664	10.0012	10.1189	10.571	9.59196	10.2996	9.94032	10.3066	9.6836	9.92016	9.73994	10.1867	9.70776	10.332	9.71818	9.96544	9.89365	10.4021	10.2877	9.76648
sp|O00291|HIP1_HUMAN	9.83364	10.1562	11.0599	9.36128	9.28206	8.93069	10.1865	8.66864	11.3957	11.1254	9.70444	10.4411	10.3044	9.97584	9.97175	10.6774	9.46344	9.33695	10.0417	10.0829	9.86031	9.64315	9.74865	10.21	8.90414	9.46124	9.78434	10.2587	10.6858	11.4436
sp|O00299|CLIC1_HUMAN	10.1561	10.4965	9.73071	10.2705	10.1939	9.68279	9.98596	10.1038	9.69723	9.68251	10.1594	10.2417	10.2487	10.4793	9.4365	9.747	10.409	10.4088	9.64064	9.22884	10.4941	10.2842	10.0783	10.2116	9.37412	9.72157	10.0989	10.4586	9.71231	9.56628
sp|O00303|EIF3F_HUMAN	10.7435	10.497	10.7694	10.3543	10.2178	10.4573	10.108	9.14644	8.86512	8.84103	10.3639	9.92879	10.601	9.99992	10.5771	9.96126	10.02	9.81349	9.60197	9.1325	10.7498	9.49854	10.6825	10.095	9.47854	10.0336	11.3404	10.5392	8.89794	8.68449
