protein_id	D311	U311	S311	E311	L311	D312	U312	S312	E312	L312	D121	U121	S121	E121	L121	D122	U122	S122	E122	L122	D321	U321	S321	E321	L321	D322	U322	S322	E322	L322
sp|P53370|NUDT6_HUMAN	9.63444	9.19799	9.46763	8.83744	9.98306	9.73185	10.3597	10.7266	11.3507	10.7106	9.91527	10.4112	9.64477	10.0327	12.1328	9.19613	9.80095	8.89866	10.7805	9.18691	8.54979	9.39388	8.63167	9.98039	9.47782	10.3361	10.776	12.3424	10.0872	10.4248
sp|P53384|NUBP1_HUMAN	9.82027	10.2578	9.09079	10.4547	8.98974	10.3383	10.2305	10.86	9.6565	10.3015	9.15285	14.6473	9.55122	10.5154	8.72583	9.35373	9.51148	9.97358	9.41515	9.15339	10.2281	10.2214	9.68376	9.26125	10.048	9.41178	10.3406	10.5295	10.4234	9.85217
sp|P53396|ACLY_HUMAN	9.20312	9.70147	10.1292	9.85715	10.7697	10.147	10.3375	9.27426	10.169	10.4116	10.1707	10.1796	10.3219	9.94408	10.4856	10.1679	9.5718	9.03894	10.31	9.80946	9.05732	9.02288	9.46251	9.46133	10.6215	10.0001	11.0883	10.042	10.4818	10.7622
sp|P53582|MAP11_HUMAN	9.99358	10.7839	9.14774	10.5869	9.83258	9.39715	10.8363	10.2031	9.57639	9.64233	10.3355	10.2183	9.28291	10.602	10.0525	10.5716	8.89355	10.8578	9.52452	9.66129	10.0848	10.924	10.0489	10.3866	9.40159	8.81017	10.6285	10.7597	9.60364	9.35214
sp|P53597|SUCA_HUMAN	9.30187	8.42685	9.71288	9.3012	9.86173	10.3717	10.7777	10.3149	10.8329	11.0983	10.168	9.749	9.57597	9.77455	9.49061	10.271	9.94346	10.4491	10.3983	10.18	9.05006	9.24821	9.90515	9.20375	10.5286	10.7831	9.8852	10.3813	10.3022	10.7124
sp|P53602|MVD1_HUMAN	9.49761	9.52536	9.27919	9.81848	10.5251	11.8155	9.60391	10.2932	9.55072	10.0909	10.1549	9.66985	9.98747	10.2339	10.3584	10.2879	9.7184	9.92729	9.97456	9.68743	9.76242	9.47397	9.10899	9.45489	11.0777	10.4301	10.178	9.88006	10.0672	10.5667
sp|P53609|PGTB1_HUMAN	10.0916	9.92391	11.0762	9.46109	9.12658	9.29083	10.8202	10.5638	9.76423	9.88149	10.1412	9.29734	10.8885	10.1429	9.96912	9.71539	9.84624	10.034	10.2496	9.71572	9.73083	9.577	10.2423	9.66524	10.0339	9.66149	10.476	10.8708	9.75098	9.99146
sp|P53611|PGTB2_HUMAN	10.3355	10.5485	12.8047	8.29301	11.5339	9.10306	9.42646	8.47436	10.1914	9.28922	8.51875	9.45621	11.3695	10.0465	11.3516	9.8103	11.1537	9.63668	8.93493	9.72171	9.79774	10.5757	9.87679	9.60334	8.9495	10.2588	9.82042	10.9475	9.72668	10.4435
sp|P53618|COPB_HUMAN	10.8985	9.86192	10.9076	9.43219	10.2434	9.91721	9.65722	10.1173	9.52694	9.43774	9.7032	9.01597	10.9982	9.49576	12.0254	10.2113	9.82589	9.31027	9.26558	10.1484	10.2101	10.1182	10.3053	9.80455	10.2171	9.66536	10.1093	10.2178	9.90777	9.44451
sp|P53621|COPA_HUMAN	10.5155	9.83643	10.5263	9.86289	10.59	9.80192	9.77589	10.177	9.47457	9.4395	9.8602	9.50202	10.5703	10.0382	11.4696	10.2396	9.74069	9.34981	9.47528	9.75433	9.96267	10.1746	10.4917	10.4352	10.0489	9.79435	10.0458	9.98639	9.42963	9.63077
sp|P53634|CATC_HUMAN	8.97896	10.1095	8.34792	9.35324	9.60956	9.9091	10.5159	10.0709	11.2748	11.8301	9.78243	10.0327	10.0386	9.97982	9.46191	9.71744	10.1599	10.1069	10.6552	10.0651	9.13701	9.96573	11.0882	10.7495	9.37962	9.97604	9.12376	9.74774	10.4835	10.3488
sp|P53677|AP3M2_HUMAN	10.3505	9.89135	10.2002	9.52196	11.4052	9.62611	10.8257	9.70091	9.66073	8.8173	9.32617	10.2831	9.55671	9.98536	10.2294	10.3928	10.6802	10.6579	9.45494	9.4334	9.86441	9.68517	10.3291	9.75827	10.1608	10.1905	10.4777	10.5828	9.23706	9.71408
sp|P53680|AP2S1_HUMAN	10.0358	9.2626	9.97304	9.52758	10.4221	9.3261	9.68603	10.2406	10.8233	10.7028	10.4134	10.6817	10.0845	10.2834	10.9272	9.70354	9.54091	8.78575	9.61689	9.96279	11.0278	10.5794	9.62549	8.78764	9.5083	10.3346	11.012	9.46325	9.38468	10.277
sp|P53701|CCHL_HUMAN	9.60127	8.60092	9.65606	9.38072	10.6529	9.68995	11.452	10.5874	10.6239	9.75494	9.97986	10.0244	9.16956	10.1544	9.97508	9.82109	10.3365	9.97992	10.3165	10.2426	9.77199	9.92357	10.103	9.52279	10.4134	9.96185	10.1649	10.6781	9.63084	9.82954
sp|P53779|MK10_HUMAN	9.34237	9.2559	10.1137	10.0924	10.721	9.68488	9.96071	9.50451	10.586	10.7385	10.4547	9.0615	10.1372	9.87716	10.7834	10.3422	9.42802	9.94357	10.3512	9.62111	10.448	10.1215	10.2742	10.6808	9.05385	10.3035	7.86627	9.79209	9.7569	11.7028
sp|P53801|PTTG_HUMAN	8.09222	9.03426	9.93961	8.45025	12.7188	11.6825	8.12358	7.75753	12.5558	11.6454	10.0583	9.0956	9.38444	10.1627	10.2381	10.6803	9.06748	9.67896	9.77515	11.8589	8.04635	8.31361	7.58593	8.57881	12.4325	12.2781	6.8182	9.89435	15.6954	10.3567
sp|P53805|RCAN1_HUMAN	13.9035	9.54831	10.1916	8.79185	9.26154	8.82481	12.7903	11.7424	7.46469	7.48107	10.8233	9.4002	8.64681	10.9846	10.8027	8.17645	10.2135	10.1193	10.1262	10.707	10.5959	10.9634	9.74348	11.7101	9.59904	8.93209	9.56382	10.4791	9.23321	9.17974
sp|P53814-6|SMTN_HUMAN	10.1952	9.19554	10.7769	9.25652	9.792	9.72711	11.7739	11.3258	9.29302	8.66392	10.1299	7.42458	9.69191	11.25	10.877	9.8114	9.07748	10.0802	11.2961	10.3614	11.1263	11.2831	8.65399	8.93681	11.1148	9.18907	11.8735	11.0647	8.78128	7.97649
sp|P53985|MOT1_HUMAN	11.2496	9.822	11.2587	10.0511	10.0783	9.79767	9.26466	9.32913	9.923	9.22579	9.17486	9.99879	10.6378	10.6533	10.9079	9.65312	9.37953	9.49962	9.26576	10.8294	10.7732	9.69073	10.3529	9.6505	10.8819	10.1749	9.15319	8.62966	10.3842	10.3088
sp|P53990-5|IST1_HUMAN	10.6302	9.4595	10.3406	9.97911	10.3262	9.24244	10.3828	9.9924	10.1778	9.46896	9.79016	10.3534	9.69915	10.2153	9.58121	9.98348	10.3736	10.4044	9.767	9.83225	10.4302	10.3974	9.82382	9.67746	9.61467	9.58947	10.1766	10.4078	10.1837	9.69888
sp|P53992|SC24C_HUMAN	9.97248	9.18055	9.6214	9.67943	10.1943	9.98977	10.51	10.8333	10.0054	10.0133	9.99771	10.0871	10.5517	9.80045	10.5249	9.7871	10.1138	9.18331	9.95824	9.99569	9.84515	9.79615	10.1813	9.79898	10.1489	9.86924	9.8696	10.0832	10.3501	10.0574
sp|P53999|TCP4_HUMAN	10.3026	9.0477	10.3293	9.77472	10.054	9.78253	11.0318	8.94677	10.7453	9.98526	10.8849	9.89315	10.2764	10.0675	9.79354	10.0909	10.0133	9.61363	10.1159	9.25088	9.97489	9.72471	7.76107	7.93127	11.3842	11.435	8.9679	9.90941	12.0045	10.9071
sp|P54098|DPOG1_HUMAN	9.32211	9.85078	9.51462	9.36257	10.2535	9.2592	10.1565	11.0768	10.3606	10.8433	9.12071	9.98455	9.75366	9.75465	11.2763	9.79116	10.0242	9.39444	10.4592	10.4411	9.42868	9.75125	10.1042	9.71776	9.99349	10.1831	9.6393	10.3171	10.2073	10.6579
sp|P54105|ICLN_HUMAN	9.3359	12.4693	11.6381	10.266	9.9077	9.17894	9.56187	8.38674	9.52336	9.7321	8.5724	10.0764	10.3893	11.1801	10.7409	10.7311	8.76956	8.94885	10.6808	9.91054	9.30055	9.92716	9.69274	9.68914	9.6111	9.9515	10.9091	11.0624	10.8337	9.02264
sp|P54136|SYRC_HUMAN	10.315	10.1259	10.4542	10.0944	10.0227	9.69648	10.4214	10.1778	9.41611	9.27593	10.1456	10.2738	10.1779	10.1192	10.6198	9.92353	9.86198	9.7175	9.68784	9.4728	9.89787	9.94113	9.81768	9.87732	10.0538	9.82412	10.6258	10.3766	9.8626	9.72314
sp|P54252|ATX3_HUMAN	9.05642	10.9853	8.84597	11.0807	9.99104	9.5283	9.75706	10.1422	10.5699	10.0431	9.12145	10.034	10.1909	10.1184	11.0757	9.79679	9.52698	9.15962	10.6729	10.3033	10.2119	9.92319	9.83312	9.62519	8.97973	10.8014	9.7681	9.99732	10.3282	10.532
sp|P54253|ATX1_HUMAN	10.5122	10.0409	10.3069	11.6047	11.441	10.2964	8.72595	8.13161	10.247	8.69338	10.5078	9.54504	10.579	10.45	10.4837	10.0903	9.6567	9.26258	10.2496	9.17536	9.82718	10.1497	10.64	11.2353	10.4321	10.3033	9.15008	8.82886	9.65487	9.77862
