,symbol,ensembl_gene_id,external_gene_name,DMSO.168vDMSO.24_logFC,DMSO.168vDMSO.6_logFC,DMSO.168vDMSO.72_logFC,DMSO.24vDMSO.6_logFC,DMSO.72vDMSO.24_logFC,DMSO.72vDMSO.6_logFC,Erl1.24vDMSO.24_logFC,Erl10.24vDMSO.24_logFC,Erl3.168vDMSO.168_logFC,Erl3.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.72vDMSO.72_logFC,Lap1.24vDMSO.24_logFC,Lap10.24vDMSO.24_logFC,Lap3.168vDMSO.168_logFC,Lap3.24vDMSO.24_logFC,Lap3.6vDMSO.6_logFC,Lap3.72vDMSO.72_logFC,Sora1.24vDMSO.24_logFC,Sora10.24vDMSO.24_logFC,Sora3.168vDMSO.168_logFC,Sora3.24vDMSO.24_logFC,Sora3.6vDMSO.6_logFC,Sora3.72vDMSO.72_logFC,Sun1.24vDMSO.24_logFC,Sun10.24vDMSO.24_logFC,Sun3.168vDMSO.168_logFC,Sun3.24vDMSO.24_logFC,Sun3.6vDMSO.6_logFC,Sun3.72vDMSO.72_logFC
7368,6767,ENSG00000140450,ARRDC4,0.2886816,0.402627,0.07119296,0.11394539999999999,0.2174886,0.331434,0.1881066,0.1705607,-0.9986664000000001,0.1946011,0.509996,-0.252896,0.1256829,0.1977263,-1.658237,-0.0417585,0.5956799,-0.7043125,-0.3108328,-0.4525338,-1.521911,-0.2948867,-0.14006629999999998,-0.6592588,0.1106866,0.8066974,-0.5123808,0.03197295,0.8447370000000001,-0.2801994
7369,7689,ENSG00000140443,IGF1R,-0.18766370000000002,-0.04755122,-0.0511775,0.1401125,-0.1364862,0.003626284,-0.09674683,-0.03264062,-0.04767008,-0.2460143,-0.1961258,-0.04921533,-0.31671509999999997,-0.1827341,-0.06697268,-0.1293618,-0.2072089,0.09065901,0.20054470000000002,-0.5006634,0.8504636999999999,0.17721729999999997,0.09022994,0.4205968,-0.2852828,0.2679573,0.9814624,0.08333259,0.03709858,0.2845291
7370,5746,ENSG00000140416,TPM1,0.2235616,-0.02122486,-0.03727712,-0.2447865,0.26083870000000003,0.01605226,-0.2026491,-0.15740510000000002,0.02201197,-0.1305476,-0.2024175,-0.3259635,-0.1269989,-0.4134638,-0.1068725,-0.1756536,-0.19371229999999998,-0.1590453,0.22955170000000003,-0.6969316,-0.5096242999999999,-0.007144743,-0.18747020000000003,0.106455,-0.08363852,-0.6950951,-0.4257247,-0.27154490000000003,-0.27726490000000004,-0.3348836
7374,3802,ENSG00000140398,NEIL1,-0.6756165,-0.2758969,0.340711,0.3997196,-1.0163280000000001,-0.6166079000000001,-0.31614159999999997,-0.5586185,-0.7981937,-0.6290595999999999,-0.34638040000000003,0.9706646999999999,-0.5613902,-0.6587838,-1.128965,-0.5378328,-0.1997651,-0.2013767,-0.8232969000000001,-0.9798481,-0.8046711999999999,-0.5700364,0.05151675,0.6327696,-0.5874696,-0.4510728,-0.5243211999999999,0.12313099999999999,0.24559270000000002,0.7062598000000001
7375,876,ENSG00000140396,NCOA2,0.3144803,0.3109558,0.1558536,-0.0035244990000000004,0.1586267,0.15510220000000002,0.1287048,0.15870820000000002,0.1294397,0.03760741,0.10957539999999999,0.1258841,0.06237908,0.1475131,0.1674194,0.14549120000000001,0.06599189999999999,0.06142365,0.04773569,-0.004400538,-0.1577168,0.1621279,-0.0002622913,0.18038479999999998,0.09829109,0.07373681,0.308123,0.05658024,0.02351864,0.09434377
7376,3231,ENSG00000140395,WDR61,-0.1853971,-0.1446166,-0.06271935,0.04078046,-0.1226777,-0.08189727,-0.1915315,-0.2107982,0.03532694,-0.1955112,-0.01000677,-0.04804493,-0.1826364,-0.1584735,0.09118548,-0.177127,-0.09699346,-0.03089902,-0.11759069999999999,-0.0006106531,-0.1131667,-0.16271529999999998,-0.09278922,-0.005459665,-0.1437391,-0.3939843,-0.1726727,-0.2432136,-0.13035360000000001,-0.1291258
7377,3094,ENSG00000140391,TSPAN3,0.1384151,0.1528088,0.009800738,0.01439374,0.1286144,0.14300810000000003,0.06326325,0.08039521,0.0405141,0.1358262,-0.0107389,-0.07785901,0.1279509,0.07891616,-0.01093505,0.09996802,-0.00359445,-0.02463275,0.04977483,-0.16686710000000002,-0.12162629999999999,-0.006434978,-0.07030589999999999,-0.2141834,0.15772070000000002,0.23510460000000002,-0.1289682,0.14101529999999998,-0.0402179,-0.021474700000000003
7379,6861,ENSG00000140382,HMG20A,-0.09155438,-0.05473911,-0.09161927,0.03681527,6.48933e-05,0.03688017,-0.0354985,-0.1998171,0.08067764,0.005951232,0.03284353,0.004090675,-0.01908381,-0.043245599999999995,0.1270221,-0.07176461,0.03095884,-0.03803063,-0.01248071,-0.4416057,-0.7476524,0.12003210000000002,0.05550037,0.007954449,-0.06017027,-0.17582720000000002,0.02598581,-0.06582526,-0.053472900000000004,-0.08434599
7380,5790,ENSG00000140374,ETFA,0.10487619999999999,0.1370458,-0.01103092,0.03216963,0.11590710000000001,0.1480767,0.03303213,0.008150234000000001,0.13811310000000002,0.09606812,0.05422635,-0.03733235,0.15753029999999998,-0.007239951999999999,-0.06800374,0.07603873,0.01444225,-0.08012731,-0.02197914,-0.38416740000000005,-0.2632163,0.009021602,-0.0317765,0.006151454000000001,0.1078298,-0.20365039999999998,-0.4209178,-0.07505926,-0.07362554,-0.2917393
7382,10665,ENSG00000140365,COMMD4,0.05816116,-0.03651569,0.3233173,-0.09467685,-0.26515609999999995,-0.359833,-0.2167474,-0.320975,-0.0299623,-0.1606569,-0.07433618,0.22303920000000002,0.01804066,0.07927595,-0.03591084,0.09766074,-0.03051559,0.1635396,-0.06884505,-0.8894153,-0.6474109,-0.1741223,0.2577302,-0.30548159999999996,-0.01696428,-0.03682519,-0.19671970000000003,0.07853224,-0.02523504,0.3591663
7383,1262,ENSG00000140350,ANP32A,0.2319571,0.37184140000000004,0.1795664,0.13988420000000001,0.05239069,0.1922749,0.01377047,-0.007627836999999999,-0.106183,0.07574229,0.11063599999999998,-0.06931613,0.07483417,0.1043718,-0.02811228,0.04746725,0.1800701,0.01191348,-0.02367235,-0.7226812,-0.7063661,-0.04886143,0.02285247,-0.22560210000000003,-0.019728400000000004,-0.5770688,-0.2831676,-0.1173276,0.04307769,-0.10068350000000001
7384,9166,ENSG00000140332,TLE3,0.14485689999999998,0.1174548,0.4132624,-0.02740208,-0.26840549999999996,-0.29580759999999995,0.2302824,0.10281760000000001,-0.1536025,0.2310397,0.1806949,0.4555762,-0.01205,0.5527864,-0.32343099999999997,0.11782269999999999,0.45612359999999996,0.17273029999999998,-0.4524323,-0.09177181,0.5998148,-0.378247,-0.04573899,-0.2576622,-0.02588162,-0.07341219,-0.212531,-0.18760539999999998,0.31134759999999995,0.09451102
7387,879,ENSG00000140319,SRP14,0.3299848,0.3360813,0.22318629999999998,0.006096505,0.10679849999999999,0.11289500000000001,0.1938395,0.08178728,0.1426037,0.22016550000000001,-0.005617778,0.07725638,0.27609720000000004,-0.0235225,0.18049720000000002,0.1998601,0.03576339,0.1677281,-0.03487033,-0.9125745999999999,-0.8931479999999999,-0.1711753,-0.05028263,-0.4051335,0.1130414,-0.1670289,-0.1494026,0.01659656,-0.08314308,0.01054132
7389,9884,ENSG00000140299,BNIP2,0.04329552,-0.005114395999999999,-0.07760425,-0.04840991,0.1208998,0.07248986,0.009289676,0.05309874,0.1806834,0.05474121,0.02892787,-0.09902014,0.01817933,0.01789515,0.16513770000000003,0.01636911,-0.047792,-0.06232633,0.05426996,0.6965691999999999,0.4235979,0.07051794,-0.1427501,0.006546988,0.1382664,0.4054929,0.2554314,0.08314536,-0.10833699999999999,0.04511027
7390,2010,ENSG00000140285,FGF7,-0.8227013000000001,-0.5642501,-0.43758100000000005,0.2584511,-0.3851202,-0.1266691,-0.4420117,-0.7619745,0.1660195,-0.8393883,-0.47225839999999997,0.28258059999999996,-0.8199006,-0.4494656,0.18142779999999997,-0.5742189,-0.3473825,-0.1215307,-0.01352648,-1.355664,-1.641472,0.6696604,0.0939846,1.002285,-0.41379049999999995,-1.771434,0.0043715709999999994,-0.9913821,-1.4965190000000002,-0.35538379999999997
7391,7683,ENSG00000140280,LYSMD2,0.2814047,0.04889558,0.234275,-0.2325091,0.04712969,-0.1853794,-0.21721620000000003,-0.4524321,0.3370163,-0.3328105,0.004629814,-0.03895518,0.01392225,0.06627325,-0.10016610000000001,0.02868665,0.01169523,-0.1501652,0.1247252,-0.2846114,-1.845863,-0.2470815,-0.39832090000000003,-0.7915083,-0.3933649,-0.7712038,-1.308371,-1.0897059999999998,-0.41797609999999996,-0.7771296
7392,955,ENSG00000140279,DUOX2,-1.256764,-0.5367795999999999,-0.06322741,0.7199846999999999,-1.193537,-0.4735522,-0.12112039999999999,-0.09838234,0.4158059,0.02421621,0.1778195,1.316073,-0.2765218,-0.37481279999999995,0.07140213,-0.08450631,-0.021458500000000002,0.6937382,-1.175143,-2.4319439999999997,-2.281299,-0.9596372,0.03516512,0.06213551,-0.2457397,-0.8505254000000001,1.547752,0.2283766,0.3780616,1.283187
7396,6102,ENSG00000140263,SORD,-0.2181413,-0.2309061,-0.09408157,-0.01276483,-0.1240597,-0.13682460000000002,0.5536293000000001,0.2994178,0.4967693,0.466879,0.1475057,0.5514922,0.45886220000000005,0.3404937,0.1969733,0.4092046,0.2073599,0.2536272,-0.11745889999999999,-0.6824428000000001,-1.230035,-0.05353415,0.146403,-0.2538005,0.3373271,-0.2351746,0.2360515,0.1799508,0.31299940000000004,0.28354470000000004
7397,5461,ENSG00000140262,TCF12,0.12487670000000001,0.1852223,0.0636012,0.06034567,0.06127547,0.1216211,0.01929098,0.2384772,0.1706385,0.04003749,0.05783555,0.02736151,0.1462879,0.04696076,0.07173393,0.06534791,0.07726491,0.001174918,-0.03280288,0.3475247,0.2202103,0.04138534,-0.05840995,-0.02763395,0.06979236,0.1363772,0.1663249,0.04482535,0.02359881,0.1413469
7400,11124,ENSG00000140157,NIPA2,-0.03410123,-0.159242,-0.1868246,-0.12514080000000002,0.15272339999999998,0.02758265,-0.06096328,0.02654781,0.14670129999999998,-0.05067378,0.02661362,-0.19078370000000003,-0.06141868,-0.0029963959999999997,0.153273,-0.08020686,-0.02758731,-0.06568905,0.178727,0.5828066999999999,0.01641526,0.1530594,-0.13689110000000002,-0.05366315,-0.05738496,-0.08232408,-0.09720017,-0.1716904,-0.1298341,-0.1933259
7401,7791,ENSG00000140153,WDR20,-0.08401945,-0.1454797,-0.09699574,-0.06146025,0.01297629,-0.04848396,-0.10807160000000002,-0.06724957,0.07751138,-0.1345511,-0.03041894,-0.06769133,-0.1221492,-0.05424823,0.03597747,-0.1593359,-0.04668057,-0.1304932,-0.16829059999999998,-0.4489857,-0.49270169999999996,-0.0945547,-0.105671,-0.23329679999999997,-0.0500996,-0.2014934,-0.007540958,-0.180911,-0.1343209,-0.1325989
7402,5445,ENSG00000140105,WARS,0.2203469,0.0687668,0.04802007,-0.15158010000000002,0.17232679999999997,0.02074673,0.04689407,1.456569,-0.06006899,0.1535819,0.07656117,-0.11817380000000001,0.09490343,0.473762,0.1669389,0.11486279999999999,0.02988405,-0.04338264,0.2902248,3.3960410000000003,3.1695830000000003,0.4138814,0.01867827,1.869414,-0.1425457,0.5254443,-0.3093724,0.06735777,0.05230386,-0.15054179999999998
7404,10561,ENSG00000140057,AK7,-0.13753829999999997,-0.5203356,-0.6687069999999999,-0.3827973,0.5311686999999999,0.1483714,0.3847851,0.24825999999999998,-0.3602341,0.12186559999999999,-0.2955875,-0.5821568,-0.09691904,0.3426889,-0.2166823,0.2094053,-0.22123939999999997,-0.07428016,0.6484335999999999,0.42365169999999996,0.1386685,0.8129270000000001,0.1403752,0.2465282,0.5935654,0.9261279,0.45229220000000003,0.3147752,0.19447520000000001,-0.04830527
7405,761,ENSG00000140044,JDP2,-0.4613709,-0.5527028,-0.5458088000000001,-0.09133193,0.08443792,-0.006894012,-0.26864770000000004,0.8364976000000001,0.4201269,0.03971705,0.483964,0.16988620000000001,-0.1104306,-0.3749403,0.3924705,-0.43286769999999997,0.07367639999999999,-0.004279544000000001,-0.05270918,0.22482539999999998,-0.6992431,-0.07050212,0.1207585,0.4028156,-0.1031871,-1.982981e-05,1.1088639999999998,0.2722487,0.6371354,0.5526694000000001
7406,7297,ENSG00000140043,PTGR2,0.12373440000000001,-0.0195211,0.2099666,-0.1432555,-0.08623216,-0.2294877,-0.10079049999999999,-0.3421653,-0.1369729,-0.1237481,-0.2956182,0.1307822,-0.1664069,-0.29943509999999995,-0.3293527,-0.1764757,-0.1009376,0.068623,0.02194443,-0.7031371,-0.5979314,0.29603379999999996,-0.1303044,0.17004879999999997,-0.19127139999999998,-0.35022790000000004,-0.08567244,-0.1699546,-0.2393077,0.07324332
7408,4097,ENSG00000140006,WDR89,-0.2362417,-0.284492,-0.1210607,-0.04825033,-0.11518110000000001,-0.16343139999999998,-0.40415700000000004,-0.48710790000000004,-0.002919662,-0.2947308,-0.04455556,-0.1280066,-0.2684962,-0.32768179999999997,0.03323862,-0.31149309999999997,0.04509184,-0.08139616,-0.06072712,0.32715879999999997,0.2501334,0.05745876,-0.2235315,-0.11074460000000001,-0.23862979999999998,-0.35890609999999995,0.02185982,-0.37836679999999995,-0.01970573,-0.02564483
7409,2027,ENSG00000139998,RAB15,0.47953720000000005,-0.02581263,0.1226964,-0.5053499,0.3568409,-0.148509,-0.09555108,-0.08353043,-0.5288599,-0.03308043,-0.16375810000000002,-0.5066223,-0.07255078,-0.2272196,-0.6497334,-0.1092105,-0.1928396,-0.46607170000000003,0.2393576,-0.36576640000000005,-1.6589009999999997,-0.41604880000000005,-0.34411840000000005,-1.449021,-0.1076896,-0.401818,-1.272165,-0.3764314,-0.4325501,-0.8410548000000001
7410,500,ENSG00000139990,DCAF5,0.2251679,0.24361439999999998,0.22639050000000002,0.01844645,-0.00122255,0.0172239,0.0394587,-0.10723060000000001,-0.09375193,0.005974639,-0.104594,-0.01600402,0.02287832,0.0570976,-0.07619417,0.01904818,-0.05763609,-0.019527000000000003,-0.05425061,-0.0038682879999999997,-0.1896622,-0.07912326,-0.1056788,-0.1695066,0.004009741,0.01554961,-0.2667604,0.02072067,-0.07465932,-0.08826641
7415,466,ENSG00000139921,TMX1,-0.4962358,-0.6414603,-0.4607125,-0.14522449999999998,-0.0355233,-0.1807478,-0.1536305,-0.07569122,-0.185806,-0.28269970000000005,-0.102673,-0.31405040000000006,-0.1083101,-0.14657089999999998,0.04252549,-0.2331489,-0.005576426999999999,-0.396267,0.06705075,0.03450159999999999,-0.2403341,0.01674682,-0.2496187,-0.23991700000000002,0.0024389010000000003,0.08196772,-0.126615,-0.19634939999999998,0.05945656,-0.2389522
7416,9410,ENSG00000139915,MDGA2,-0.19872320000000002,0.09222280000000001,-0.2791088,0.290946,0.08038560000000002,0.3713316,-0.3293494,-0.1649065,-0.7937947,-0.2237927,0.39866240000000003,-0.64246,-0.3755035,-0.6604746,-0.4780420999999999,-0.4728018,0.5923553,-0.6955905,0.7711387,-0.44375690000000007,-0.7435457,0.4292322,0.5437883000000001,0.3708688,-0.30229629999999996,-0.34505640000000004,0.55277,-0.43619940000000007,0.06883942,-0.1063856
7417,12904,ENSG00000139914,FITM1,-0.008583717,-0.1128107,-0.1326244,-0.104227,0.12404069999999999,0.01981375,0.3152267,0.26465720000000004,0.4405111,0.312961,0.03360539,0.1175873,0.3314649,0.12229939999999999,0.5853755999999999,0.20945170000000002,-0.11769729999999999,0.5111087999999999,-0.09543581,-1.12822,-2.3159330000000002,-0.5702385,0.005095325,-0.7795989999999999,-0.09124031,-1.564132,0.23502470000000003,-0.25934789999999996,-0.1819264,-0.123589
7421,1195,ENSG00000139835,GRTP1,-0.6139127,-0.23208270000000003,-0.42041949999999995,0.3818301,-0.1934933,0.1883368,-0.40540940000000003,-0.1905461,-0.2268064,-0.4108024,0.3021562,-0.20813679999999998,-0.3364197,-0.3594432,0.0676461,-0.5409932,0.23640129999999998,-0.4564021,0.2343317,0.30707340000000005,1.258002,-0.09665396,0.1088522,0.3138763,-0.29506679999999996,-0.2238299,0.02674297,-0.1891713,0.4754893,0.139909
7430,12626,ENSG00000139722,VPS37B,-0.009948886,-0.04115342,-0.1264019,-0.03120454,0.116453,0.0852485,0.06504552,0.00835387,0.2284902,0.1170756,0.029014699999999997,0.01823211,0.1638696,0.04266465,0.08868669,0.09458284,0.04766952,-0.06268263,0.005536804,-0.7601039,-1.2202309999999998,-0.2855169,0.02658645,-0.5675811,0.10628879999999999,-0.2239172,0.33398829999999996,0.1117181,-0.15749660000000001,-0.03147268
7431,7401,ENSG00000139719,VPS33A,0.11534480000000001,0.08283691,0.1830572,-0.03250793,-0.06771236,-0.1002203,0.21705479999999996,0.1894713,-0.01026375,0.1950045,0.1685922,0.12266700000000001,0.21819429999999998,0.2720108,-0.08413842,0.30968,0.27661890000000006,0.07136492,-0.04142211,0.3706422,-0.192932,0.0543058,0.03911977,0.08794786,0.3472458,0.7710551999999999,-0.005231976,0.2994035,0.26701490000000005,0.116576
7433,11524,ENSG00000139697,SBNO1,0.02271082,-0.0008599409,-0.04384999,-0.02357076,0.06656081,0.04299005,-0.003420518,0.0333491,0.04534477,0.04927506,-0.04122463,-0.02925027,-0.03288578,-0.10567370000000001,0.03622613,-0.03708719,-0.07666061,-0.07275768,-0.09405032,-0.01413184,0.4636817,-0.07603329,-0.23584470000000002,-0.1173876,0.00410247,0.36002209999999996,0.1961806,-0.007878622,-0.02429031,-0.06593429
7434,5369,ENSG00000139687,RB1,-0.14581760000000002,-0.03401919999999999,-0.11653310000000001,0.11179839999999999,-0.02928451,0.08251388,-0.03285415,-0.07756358,0.1748794,-0.1272001,0.06803151,-0.04697715,-0.04332725,-0.1199452,0.1057918,-0.05357602,0.09201598,-0.01039043,0.1377565,0.08092129,0.05409087,0.14602379999999998,-0.06131906,-0.15607079999999998,0.09974946,0.05734383,0.32341590000000003,-0.06075943,-0.08765082,0.11246789999999998
7435,10094,ENSG00000139684,ESD,0.0466402,0.11441359999999999,0.009399726,0.06777339,0.03724047,0.1050139,-0.0048711729999999995,0.06952991,0.1737418,-0.02580894,0.06138399,0.01752587,0.08006726,0.04941659,0.2362183,0.0535974,0.06774601,0.08891492,0.03264601,-0.3142337,0.09696087,0.16345389999999999,-0.0863141,0.21609679999999998,0.09134550000000001,-0.08016454,-0.01521023,0.0034201540000000003,-0.08944862,0.01022121
7439,10401,ENSG00000139645,ANKRD52,-0.08800611,-0.22953510000000002,-0.03002573,-0.141529,-0.05798038,-0.1995094,-0.06820655,-0.2136333,-0.1568856,-0.2143754,-0.1771398,0.03106419,-0.1512281,-0.13499,-0.2990442,-0.1429484,-0.10816760000000002,-0.1831769,-0.1710698,-0.5012824,-0.5437744999999999,-0.332427,-0.04984559,-0.222525,-0.1859159,-0.03113813,0.34213649999999995,-0.1079608,-0.09652394,-0.1756448
7440,1253,ENSG00000139644,TMBIM6,-0.300958,-0.241711,-0.2996989,0.05924696,-0.001259043,0.05798792,-0.07456889,-0.02424095,0.06439995,0.007056275,0.04310359,-0.1273887,0.01692108,-0.14895350000000002,0.01791447,-0.04331777,-0.02893863,-0.17491729999999997,0.1230546,0.8437433000000001,1.1494520000000001,-0.1359634,-0.09123905,0.2994912,0.07834062,-0.02017074,0.128584,0.01134238,-0.04021969,-0.07191967
