DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
11.0404,10.3477,10.4651,10.644,8.68014,10.0981,11.8952,10.2204,7.9763,8.63272
9.63278,9.56334,9.84741,9.03687,9.41628,11.1452,11.2311,10.4765,9.6001,10.0504
9.67478,10.0365,9.6061,9.91847,10.2899,9.9868,11.0099,11.5892,8.95956,8.92881
9.0165,10.2921,8.77673,9.31833,9.45443,9.19916,10.9662,11.8599,10.7395,10.3772
10.2519,11.0818,12.0049,10.5035,10.629,10.7632,10.4231,8.97156,6.64832,8.72273
9.10703,9.49895,11.1507,10.644,9.35514,9.04194,9.25135,10.9078,10.7022,10.3409
9.98974,9.86533,11.1053,10.5461,10.4977,10.0179,9.52219,8.87486,9.29949,10.2812
11.5579,12.4626,9.59283,9.67952,9.66325,8.95568,8.65046,8.7218,10.8794,9.83656
9.44993,9.47259,9.76667,8.95999,10.4859,10.1064,9.43525,9.7035,11.2169,11.4028
8.5147,8.97497,9.38292,9.1751,10.1197,10.1056,9.37792,9.85251,11.7489,12.7476
9.13387,8.55119,9.37985,9.05878,10.5627,10.8608,10.7512,10.2731,10.9929,10.4357
9.79463,10.1878,9.84157,9.34836,9.91605,9.14892,11.429,11.4559,9.40088,9.47681
11.3842,10.9208,10.3513,10.848,10.2316,9.00424,9.33834,7.81526,10.4392,9.667
10.936,10.125,10.3556,10.9869,9.29651,10.3051,9.9852,8.5807,9.34892,10.0801
11.1303,10.7306,12.0391,11.9111,10.4163,9.15079,8.58773,7.21745,8.98644,9.83022
10.19,9.90419,10.1043,8.71214,8.79139,10.1622,12.0197,9.40973,10.6959,10.0105
11.288,10.4547,9.34515,8.39882,8.39629,10.0331,12.6797,9.81853,9.62415,9.96155
13.6153,14.2026,9.51595,9.52075,10.2582,8.35442,8.30088,8.33441,9.58768,8.30982
10.5613,9.14159,9.37594,8.52119,8.6095,11.8223,12.4341,9.80071,9.79467,9.93861
9.7461,9.5926,9.54751,9.47236,10.4144,9.52033,10.9372,10.6006,9.86011,10.3088
9.3917,9.39932,9.22834,10.715,9.56893,9.89174,10.8145,10.0537,10.9102,10.0266
9.63465,10.3014,9.36767,9.73993,9.80481,9.34266,10.2561,10.6623,10.8598,10.0307
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.52634,11.4721,10.0196,10.9324,10.3256,9.15578,9.07249,10.0367,11.7998,9.65924
9.78835,9.87376,10.3107,9.9482,9.87497,9.91917,10.9654,9.86025,9.8722,9.58696
10.3321,10.0298,10.5637,10.1058,10.1274,9.84283,9.3187,9.76027,9.9858,9.93363
9.72861,9.81886,10.0717,10.0184,10.0898,10.2884,9.83966,9.96555,9.8246,10.3543
8.80391,9.65698,9.16226,9.03891,9.99024,9.81644,9.53544,10.7438,11.931,11.321
9.31859,10.0726,10.3105,9.64275,11.5291,11.0233,8.82522,9.53116,10.2815,9.46529
10.6222,11.1,9.7239,9.24264,9.59405,9.07156,9.74168,10.1509,10.699,10.0541
10.4847,9.87908,10.2852,10.1494,8.3686,10.9345,12.0503,10.4981,8.1494,9.20082
10.9906,10.1485,9.97208,9.39925,8.89112,8.98403,11.4784,10.9317,9.95111,9.25323
10.0236,8.90425,10.3356,8.65035,9.19021,9.72047,10.7291,10.3589,10.6754,11.412
9.10649,9.97894,8.81342,8.09188,9.26307,11.8345,11.5283,9.95197,10.3053,11.1261
9.46695,9.51689,9.98043,10.1258,9.99595,9.75473,10.7279,10.8683,9.94636,9.61666
