DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.45,9.74856,9.69237,9.53836,9.7999,10.4852,10.6718,9.92657,9.78275,9.90454
9.21035,12.6128,11.8573,10.5834,12.3331,12.657,6.83475,6.71325,7.66356,9.53447
10.0048,7.56682,5.92299,8.04555,9.50914,10.9285,8.89663,12.194,10.247,16.6846
9.89522,9.99062,10.0096,9.94003,10.1327,9.85629,10.3161,10.5285,9.60413,9.72684
9.45692,9.18563,9.5691,9.51536,10.1912,10.1542,10.8867,10.5778,10.2964,10.1667
10.0968,9.37823,7.91075,11.2891,11.0718,10.1496,9.07832,10.2397,9.90474,10.881
11.2473,10.377,9.54007,10.2945,10.198,9.90524,9.16996,9.4013,9.6932,10.1735
12.0526,10.6707,9.7011,10.1634,9.56451,10.0581,9.76301,9.37713,9.47914,9.17034
10.3865,10.4975,10.2599,10.5365,9.97108,9.90666,9.81867,10.1342,9.22184,9.26715
10.4298,10.1915,9.80791,10.1398,9.54977,10.3736,10.9467,10.6773,8.96014,8.92349
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.5586,13.4863,7.5453,8.67459,5.63724,5.00344,11.5381,12.4003,12.1778,12.9784
8.40854,10.7441,7.91985,10.967,8.81819,11.8906,9.58991,13.823,7.0834,10.7554
9.19453,10.0513,9.47027,10.1056,10.2447,9.75736,9.63704,9.80349,11.0035,10.7322
10.243,11.1099,11.9442,11.0027,10.1635,9.43399,9.7127,8.88027,8.81034,8.69945
10.8811,9.72979,10.8208,9.42884,10.3292,9.9434,9.64308,10.1927,9.55095,9.48013
9.17042,9.64243,10.5777,10.5753,10.0513,9.40605,9.29621,8.96081,10.8338,11.4861
8.6586,9.94673,9.18499,11.3929,9.80696,11.1066,8.54065,9.46195,10.1727,11.7279
9.88994,9.8681,9.43779,9.95577,10.8009,10.2076,9.88437,9.58038,10.189,10.1862
9.78763,10.1267,10.1766,9.73628,9.24374,9.29879,10.507,9.71463,10.7412,10.6675
10.4772,10.8361,9.47407,9.64482,8.97796,9.82145,11.3939,8.82606,11.1183,9.43012
9.98149,9.69135,9.70226,8.90191,10.1551,8.97651,11.2181,10.5361,10.2721,10.565
9.9845,10.1325,10.4684,10.0839,10.4441,9.44653,10.5573,10.5108,9.25284,9.119
9.5077,9.63765,9.46936,10.401,10.5895,9.93284,10.8171,9.63271,10.2661,9.74602
8.6805,9.23006,9.09004,10.1123,11.0282,9.97503,10.2526,11.143,9.62361,10.8646
9.9202,9.50318,8.95007,9.64417,10.2187,10.2183,9.14067,9.81219,11.2357,11.3568
10.2767,9.35225,9.58346,9.05991,10.5122,9.90651,9.27189,9.56309,11.5437,10.9303
9.33059,9.1492,9.04043,9.32078,10.0037,10.0635,10.6929,10.7778,10.9126,10.7084
11.3088,9.96602,11.5517,10.8312,11.4667,9.45904,7.94311,7.63423,10.0436,9.79568
9.74816,9.6158,10.784,10.3973,10.276,10.1776,10.0324,10.3257,9.08753,9.55557
10.4106,9.4619,10.0351,9.47881,9.53565,9.32583,10.4635,10.316,10.8322,10.1404
9.18626,10.2549,8.46327,10.0647,9.59704,11.0365,10.3535,11.0558,9.42495,10.563
10.3525,10.8674,9.68681,9.91111,9.56309,10.359,9.99671,10.1888,9.84199,9.2326
9.13597,8.62267,9.45125,9.67004,10.4611,10.2298,11.0448,11.2108,10.082,10.0915
7.99685,7.71238,8.40094,9.61336,10.2396,10.0673,8.00654,8.76103,14.577,14.6249
8.83402,11.1934,9.02498,10.7845,10.9727,9.94098,6.87006,8.48761,10.8434,13.0484
10.3279,9.84388,10.8717,10.8175,9.60584,9.5275,7.83261,8.40477,11.2339,11.5343
8.35249,10.2044,9.61965,10.2927,9.92435,10.6728,8.48466,7.8517,12.6721,11.9252
9.07568,10.3426,9.04174,10.0355,10.5761,10.6663,9.1848,9.06998,10.6292,11.3781
9.64403,10.5387,9.51443,9.75906,9.56023,9.81137,9.70267,10.1627,10.7722,10.5346
9.82267,10.0785,9.44878,9.84694,9.88138,9.95911,9.78264,9.84876,10.8165,10.5148
9.59978,9.82356,9.11925,9.79234,9.6648,9.73811,10.0752,9.83001,11.1041,11.2528
9.81832,9.89185,8.82829,9.57943,9.76201,10.1064,10.6552,10.1475,10.8892,10.3218
9.52773,9.55272,11.2371,10.2462,11.8483,9.82609,8.32512,8.02808,10.5423,10.8664
