'Erl','Lap','Sor','Sun','GSE12260.txt','GSE42177.txt','GSE81448.txt','GSE76314','GSE40289'
0.26112,0.078505,0.91398,0.11378,0.252,0.46744,-0.184,0.25956,0.59494
0.083717,0.14167,-0.040895,-0.094791,-0.0211,0.21809,-0.024,-0.40686,-0.40981
-0.39193,-0.22144,1.1161,-1.3949,0.484,0.42098,-0.146,0.031387,0.30641
-0.064546,-0.081352,-0.8814,-0.93001,0.189,0.20762,-0.382,0.35726,-0.72586
0.020925,-0.016159,-0.31223,-0.22137,-0.0726,0.60758,0.06,-0.035413,-0.12329
-0.31769,-0.5035,-0.92361,-0.37747,-0.0106,0.29171,0.086,-0.27746,0.28986
-0.51604,-0.28497,0.15445,-0.396,-0.0724,0.2575,0.012,-2.1532,-1.2783
-0.28558,-0.20105,-0.75185,0.34996,-0.0561,0.042435,0.08,-1.3689,0.43174
0.2216,-0.27718,-2.0055,0.21071,-0.114,0.16199,0.038,-0.11332,0.83925
0.32503,0.096955,0.64395,-0.38553,-0.435,-0.057666,-0.038,0.095979,-0.11116
0.089987,0.25719,0.37154,0.24248,-0.319,0.2098,-0.034,-0.0015877,-0.68644
0.10244,0.25184,-0.21723,0.3375,-0.121,0.4927,-0.258,0.20349,-0.64868
-0.63662,-0.98652,-0.34053,-0.57235,0.0996,-0.53238,0.198,0.13411,0.34126
0.0063998,-0.14127,-0.049686,-0.28657,-0.0747,0.39755,0.136,0.024532,-0.36867
-0.21268,0.014192,-0.58605,-0.59649,-0.212,0.25665,-0.206,-0.48027,-0.73679
0.20425,0.24307,-0.091457,0.028672,-0.0507,0.5478,-0.05,-0.39317,-0.59832
-0.3896,-0.36138,-0.0002208,-0.20532,0.19,0.012422,0.186,-0.69248,-1.7281
-0.071473,-0.13291,1.0597,-0.27747,-0.213,0.11184,0.144,0.072871,-0.15742
-0.48511,-0.35946,-0.2253,-0.82964,0.41,-0.13716,0.024,-0.090242,-0.43876
-0.41057,-0.62009,-0.72929,-1.368,0.0641,0.0098902,-0.118,-0.31948,-0.26519
-0.22065,-0.10501,0.044409,0.20543,0.117,0.19791,0.026,-0.31969,-0.17695
-0.18609,0.043712,0.44645,-0.058238,-0.0501,-0.1283,-0.054,-0.05728,-0.38478
-0.19962,-0.49104,-1.2546,-1.4052,-0.231,0.027806,0.078,-0.1651,-0.047702
0.022969,0.090666,-0.2462,0.13326,-0.228,-0.15923,0.132,-0.16192,0.19671
0.053762,0.12622,0.21359,0.42983,-0.207,-0.028221,-0.044,-0.023798,0.19718
0.19209,-0.092401,-0.90681,0.058534,-0.0407,-0.388,-0.056,-1.4489,0.15589
0.3028,0.25375,1.1512,0.56849,-0.22,0.2189,-0.054,-0.18442,0.14808
0.094966,0.05986,1.4188,0.23376,0.147,-0.63511,-0.076,0.22251,-0.19513
0.13074,0.065872,0.89087,0.51951,0.0983,-0.13039,0.092,0.4884,-0.11729
0.18461,0.045296,0.11014,0.39246,0.116,-0.046999,-0.154,0.056335,-0.022378
0.0071491,0.049211,0.26149,0.46083,-0.571,0.63072,0.062,1.3146,2.1474
-0.15014,-0.2828,-0.77385,-0.30873,-0.0539,0.37617,0.156,0.61501,0.54699
0.33097,0.079771,0.10301,0.15055,0.00158,0.15971,-0.174,0.23307,-1.5697
0.048667,0.20706,-0.092391,0.13079,0.133,0.37547,-0.13,0.36054,-0.18749
-0.13809,-0.041115,0.0051808,-0.24343,0.428,-0.28337,-0.07,0.027897,2.003
0.32876,0.27798,-0.70245,-0.68262,0.258,0.46306,-0.21,-0.24995,-0.049309
-0.22706,-0.14095,0.16002,0.093568,0.0432,-0.38248,0.018,-0.24813,-1.053
-0.29108,-0.2632,0.83093,-0.61378,-0.105,0.26228,-0.09,-0.46487,-2.1219
0.21001,0.32231,-0.12868,0.21396,-0.0824,0.24339,-0.184,0.96565,-2.7689
-0.51151,-0.37917,-1.3717,-0.038538,0.969,-0.37432,-0.058,-0.58999,0.23483
