,Gene.symbol,MeanFC,Cleaned Gene Symbols
397,AGL,-0.9775977782,AGL
400,AGO2,-0.2060943195,AGO2
402,AGPAT1,0.0106844783,AGPAT1
403,AGPAT2,0.1844927406,AGPAT2
404,AGPAT3,-0.3946535723,AGPAT3
405,AGPAT4,-1.5519862774,AGPAT4
407,AGPAT5,0.1496858915,AGPAT5
414,AGRN,0.2700052849,AGRN
416,AGT,-0.092268843,AGT
417,AGTPBP1,-0.019861385,AGTPBP1
420,AGTRAP,0.2536723876,AGTRAP
427,AHCY,-0.0558575171,AHCY
428,AHCYL1,0.1441397325,AHCYL1
429,AHCYL2,0.391353484,AHCYL2
431,AHI1,-0.651693328,AHI1
434,AHR,0.3497712363,AHR
443,AIFM1,-0.2417168897,AIFM1
444,AIFM2,-0.2089847386,AIFM2
446,AIG1,-0.518046323,AIG1
450,AIMP1,-0.0303850293,AIMP1
452,AIP,-0.1098295838,AIP
457,AJUBA,-0.0091846884,AJUBA
458,AK2,-0.0537551835,AK2
459,AK3,0.2401832693,AK3
460,AK4,0.4977326921,AK4
462,AK7,0.2639335489,AK7
464,AKAP1,-0.3799791731,AKAP1
465,AKAP10,-0.0551058491,AKAP10
466,AKAP11,0.074909743,AKAP11
467,AKAP12,0.1497091153,AKAP12
468,AKAP13,-0.3132990228,AKAP13
470,AKAP3,0.4331284238,AKAP3
472,AKAP5,-1.9709878101,AKAP5
473,AKAP6,-1.4811982917,AKAP6
474,AKAP7,-0.1185334738,AKAP7
475,AKAP9,-0.2259890544,AKAP9
477,AKIP1,0.1279823936,AKIP1
482,AKR1A1,0.037011098,AKR1A1
498,AKT1,0.0949469726,AKT1
499,AKT1S1,-0.173059691,AKT1S1
500,AKT2,-0.0609284332,AKT2
501,AKT3,-0.1178527514,AKT3
502,AKTIP,0.1978360373,AKTIP
503,ALAD,-1.0606300884,ALAD
507,ALCAM,0.0601937757,ALCAM
508,ALDH16A1,-0.4939762271,ALDH16A1
509,ALDH18A1,-0.4388517203,ALDH18A1
513,ALDH1B1,0.1123701587,ALDH1B1
517,ALDH1L2,-0.9331031627,ALDH1L2
520,ALDH3A2,-0.2535850436,ALDH3A2
524,ALDH5A1,0.2607856553,ALDH5A1
525,ALDH6A1,-0.1897518476,ALDH6A1
527,ALDH9A1,-0.0212140796,ALDH9A1
528,ALDOA,0.0175034102,ALDOA
530,ALDOC,-0.6748716876,ALDOC
531,ALG1,-0.5990296675,ALG1
534,ALG12,-0.1379620583,ALG12
540,ALG2,0.1631568222,ALG2
542,ALG5,0.1438267813,ALG5
544,ALG8,0.0044118031,ALG8
545,ALG9,0.0655073482,ALG9
548,ALKBH2,-0.8466891511,ALKBH2
549,ALKBH3,-0.374664518,ALKBH3
550,ALKBH4,-0.7138627603,ALKBH4
588,AMDHD2,-0.6179983634,AMDHD2
594,AMHR2,-4.1896112602,AMHR2
596,AMIGO1,-0.3203286304,AMIGO1
597,AMIGO2,0.3041085839,AMIGO2
600,AMMECR1L,0.0536109758,AMMECR1L
607,AMPD2,-0.1519609899,AMPD2
608,AMPD3,0.9172355445,AMPD3
614,AMZ2,0.0379506807,AMZ2
616,ANAPC1,-0.1099895332,ANAPC1
617,ANAPC10,-0.2544594681,ANAPC10
618,ANAPC11,-0.1847379321,ANAPC11
623,ANAPC2,0.2361786835,ANAPC2
624,ANAPC4,-0.2310501053,ANAPC4
625,ANAPC5,-0.1808300132,ANAPC5
626,ANAPC7,-0.257423258,ANAPC7
627,ANGEL1,0.0184900275,ANGEL1
628,ANGEL2,0.0706944279,ANGEL2
629,ANGPT1,-3.8822062045,ANGPT1
633,ANGPTL2,0.3588442736,ANGPTL2
635,ANGPTL4,-0.1874988704,ANGPTL4
640,ANK1,1.8858526443,ANK1
646,ANKEF1,-3.0679410264,ANKEF1
648,ANKFY1,0.1214685825,ANKFY1
650,ANKIB1,0.0224820714,ANKIB1
653,ANKLE2,-0.072640148,ANKLE2
655,ANKMY2,-0.0149136159,ANKMY2
