ENSG00000168653
 ENSG00000116459
 ENSG00000158864
 ENSG00000143252
 ENSG00000115840
 ENSG00000130414
 ENSG00000135940
 ENSG00000119013
 ENSG00000010256
 ENSG00000065518
 ENSG00000136521
 ENSG00000109390
 ENSG00000073578
 ENSG00000127184
 ENSG00000164405
 ENSG00000131495
 ENSG00000189043
 ENSG00000172115
 ENSG00000241468
 ENSG00000091140
 ENSG00000128609
 ENSG00000090266
 ENSG00000156467
 ENSG00000164919
 ENSG00000179091
 ENSG00000119421
 ENSG00000165264
 ENSG00000147123
 ENSG00000131174
 ENSG00000125356
 ENSG00000166136
 ENSG00000167985
 ENSG00000213619
 ENSG00000110717
 ENSG00000204370
 ENSG00000167283
 ENSG00000139180
 ENSG00000167588
 ENSG00000125375
 ENSG00000183648
 ENSG00000137806
 ENSG00000088682
 ENSG00000008283
 ENSG00000167863
 ENSG00000152234
 ENSG00000099795
 ENSG00000115286
 ENSG00000169021
 ENSG00000126267
 ENSG00000101247
 ENSG00000154723
 ENSG00000241837
 ENSG00000184076
