ENSG00000112033
ENSG00000160285
ENSG00000198911
ENSG00000079459
ENSG00000067064
ENSG00000134324
ENSG00000160211
ENSG00000116133
ENSG00000001630
ENSG00000196139
ENSG00000116678
ENSG00000147383
ENSG00000160752
ENSG00000130304
ENSG00000167508
ENSG00000102230
ENSG00000145335
ENSG00000112972
ENSG00000133935
ENSG00000186350
