Erl1.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.24vDMSO.24_logFC,Erl3.72vDMSO.72_logFC,Erl3.168vDMSO.168_logFC,Erl10.24vDMSO.24_logFC
-0.0083191253,-0.2493109311,0.0406325677,0.5637140734,-0.2334465231,-0.0531563785
0.0398525342,-0.3052865451,0.1818297593,-0.2154110061,0.0242363463,0.0448395161
-0.4920159608,-0.3723348257,-0.799404048,0.0982404078,-0.5266192537,-0.3670396505
-0.2486051747,-0.1424479846,-0.4294868697,0.4646793373,-0.4908999113,0.0272470977
-0.1426707181,-0.8521422312,-0.004002092,-0.0159218942,-0.6421453068,-0.0504509135
-0.064159059,0.1308317438,-0.1657094616,0.2715714117,0.0169739798,-0.0504165655
0.2167197293,0.2156591655,0.0636747889,0.1715887441,-0.0969560202,0.1324157377
-0.3564893151,-0.1567579665,-0.1233520207,-0.0227402422,0.2022561279,-0.3229772298
0.0168984404,-0.1722929235,0.1648350733,0.3037103166,-0.3558227635,-0.1638922911
-0.6126941993,0.2532543299,-0.7406620301,0.1784584017,0.0478391365,-0.5865725813
0.2876580737,0.2174862319,0.2751378423,-0.038409035,0.1467249811,0.0597576637
-0.0536336667,-0.2600607928,-0.1211329482,-0.0361760871,-0.0400996052,0.0330537201
-0.4089876612,-0.25840236,-0.4781692419,0.7068270851,-0.2483591856,-0.4519459371
0.036718453,0.010022427,0.2152725291,0.6548555168,0.122685368,0.1251434857
-1.0306786713,-0.4999651168,-1.0831540714,-0.7888931584,-1.4795311873,-1.102262541
0.0846407207,0.0922466507,0.3597523252,0.2953168314,0.4086369896,0.3217633495
0.5459824399,0.3675172146,0.1528294361,0.8584739115,0.2083618239,0.4245169927
0.2736796595,-0.3968165713,-0.457520749,0.2013067928,0.1936963802,-0.1082109463
-0.5937209204,0.3240074497,-0.5991138814,0.3482332331,-0.5650949162,-0.6461132028
-0.0660501627,0.0860200272,0.2173785683,-0.0671596282,0.1428778578,0.0985451114
-0.0215366374,-0.2370754324,0.1363202804,0.0804897272,0.1561228705,0.3641645796
0.0198014914,-0.2641671834,0.2058456645,-0.1446905092,-0.1557579742,-0.2433667049
-0.2209433345,-0.8306827771,-0.1861038036,-0.3839991324,-0.4052267675,-0.1135026291
-0.0019677159,-0.0771874608,-0.0898838134,-0.1105675356,0.1039987676,-0.0954986484
-0.1908227221,-0.230431714,-0.1816609214,-0.0447636443,-0.8659558223,-0.4100470993
-0.21528059,0.0354847334,-0.1702929517,-0.1532354036,-0.0797895754,-0.3132514212
0.0154211898,-0.2229898055,0.0198932131,0.1759000698,0.0688352382,0.0483469782
-0.4153359805,-0.4484768348,-0.481025413,0.262979442,-0.1193699254,-0.0762504256
0.3183658116,-0.0008116753,0.4232228786,0.1768483671,0.4044719156,0.6198982694
0.1631503375,0.273905144,-0.1173419073,-0.1165148044,0.5259120044,0.1138662625
0.3610471325,-0.2056328243,0.2516693407,0.7753542134,0.4411391426,0.1241959703
0.4550129808,0.1309519723,0.310973398,-0.0654330664,0.5538639294,0.3102190252
-0.3788570165,-0.2687963011,-0.0297101108,-0.2597518854,-0.2665614511,-0.2473777416
-0.2736761192,-0.4333672795,-0.410029442,0.683845083,-0.8431176046,-0.5015585566
0.6048134612,0.0583650334,0.4176219688,-0.174088146,0.1408840611,0.5233378193
-0.4162867169,-0.4202737037,-0.5143809303,0.5917165115,0.3711417679,-0.3112039046
0.1264002543,-0.5405364201,0.2458495041,0.486990532,0.4653258362,0.2789726233
-0.2669967621,-0.2911071628,-0.3683281518,0.3807324907,-0.1337201026,-0.3865655111
0.3650817639,0.0315640924,-0.1866275606,0.1056037343,-0.2610163192,-0.0336515595
-0.0020995994,0.1021305309,0.101405174,-0.4418281089,0.5264591893,0.0065485836
-0.1605548891,-0.0281259317,-0.0572026153,0.0704065151,0.1566783987,-0.179501913
0.8580082029,0.1584116508,0.9645638447,-1.3816110651,1.0983141959,0.5227633281
0.1670666487,-0.3160724793,-0.3389322601,0.4036595426,-0.1246949259,-0.3409739513
-0.2483279793,-0.3203187084,-0.577724238,0.8994634751,0.073427814,-0.5025108084
-0.3178944013,0.4528107466,-0.1115711673,0.2151002568,0.0258665216,-0.2210470884
0.1128814169,-0.0257253067,0.2917206313,0.2134965461,0.0413698221,0.1408951761
-1.0161490713,-0.1216330618,-0.4532742654,0.42429745,-0.1045329473,-0.1423294791
-0.7176246571,-1.0105312438,-0.5999586828,1.3058878814,-0.7042446502,-0.6793863944
-0.1978743311,-0.0639238584,-0.0833411327,0.0199617938,0.2086956017,0.1016408889
-0.2625421328,-0.5638565761,-1.0812078599,1.074452735,-1.2378321571,-0.591197327
0.2822123807,-0.3942946204,-0.119129908,0.4627771131,0.1118998707,-0.1167849183
-0.0348374277,0.1696321568,0.1746897907,-0.5155474428,-0.0618422902,-0.0840418713
-0.0455421402,0.0405844053,0.1141129265,0.1669997115,-0.198425105,-0.2069046169
0.0127957911,-0.0110863609,0.0823492117,0.0262572605,0.1732981579,0.1875713718
0.0032323594,0.3193618236,0.2636460405,-0.2979119919,0.1837104269,0.1547257449
-0.0052733669,0.2363859147,-0.0366029108,0.22920967,0.1234949761,0.0220166752
-0.4039097579,-0.4975641233,-0.2545311806,0.7979930666,-0.0321499007,0.0238956241
0.1695268921,0.0052891999,0.0793289452,-0.0756776679,0.1362289414,0.126666467
0.2433953561,-0.0660858651,0.4755247823,1.0711918073,0.086027259,0.3428533759
-0.1337496196,-0.2106879264,-0.1532778075,0.2014074154,0.0113369624,-0.1991350122
0.0351625294,-0.9997203119,-0.6808076258,1.0297747367,-0.6888812016,-0.676012082
-0.1934396134,0.5440187632,-0.2535155543,0.0751052709,0.3863271998,-0.2141917658
0.328842236,0.000201685,0.1137201094,0.0437245772,0.0056767605,-0.0044945891
-0.1007210186,-0.3572698525,-0.819853468,1.5312537994,-1.3761480074,-0.7125540293
0.5871615105,-0.2892667158,0.4670649361,-0.3378815827,0.5275105458,0.2863811514
-0.2052106965,-0.8785748361,-0.4970438855,1.0393951632,-0.8736468775,-0.5537836965
0.3207979946,0.0675804252,0.0149509877,0.1668301637,-0.2254740063,0.1125806452
-0.1535689407,-0.1220627757,-0.3972409447,0.5485812657,-0.192160854,-0.1598179989
0.0051998762,0.0631146357,-0.3263205576,0.417132615,-0.4082391006,0.0060389041
-0.4026439755,-0.6397114685,-0.2983931612,0.1430900398,-0.4813589254,-0.3463544406
-0.0627787138,-0.5098963061,0.0494937581,0.4080321576,-0.1226575178,-0.1776150086
-0.5723806805,-0.3138587353,-0.3615849082,-0.0343341465,-0.1653086261,-0.341554155
0.0912460084,-0.0121188672,-0.1556200145,0.8294598867,0.5534952494,0.0635249781
-0.2170895814,-0.5656368645,-0.4053378411,-0.2921168353,-0.5196499648,-0.4165596574
0.1522494995,0.1174256863,0.2651802113,-0.2437425216,0.0655673518,0.8643031336
-0.2436747172,-0.0922783456,-0.3917821189,-0.4851070605,-0.1452027142,-0.396318631
-0.2200465113,0.3129224314,-0.240741337,0.1594783072,-0.2782624556,-0.4708730634
0.1510002109,-0.4342286183,-0.236266595,0.2844076099,0.6382660303,-0.2016274361
-0.1388245442,-0.1548932234,-0.4312465621,0.3117787005,-0.352182998,-0.176384859
-0.3856717055,-0.3453363511,-0.0630250029,0.3985496319,-0.1370352423,-0.045457821
-0.3634029935,0.0858388024,-0.3234130178,0.4035219577,-0.0106056078,0.5998708895
-0.3656284829,-0.4091938612,-0.6514069816,1.1624473656,-0.3054170376,-0.6194474742
0.671684752,0.1643620263,-0.029242174,-0.0268912027,0.2450211304,0.179078909
0.1262156339,-0.2029201079,0.0737353041,0.8429172579,0.1754642795,0.0660656871
-0.5444200732,-0.6076210254,-1.0249059431,0.3330227472,-0.4338480764,-0.6422856382
0.4370335421,-0.0741142496,0.4540869102,0.8880668411,0.3162362475,0.7435133136
0.0990511018,0.3767677254,0.198283131,-0.1257252426,0.1579723925,0.2228729683
0.1789505986,-0.3791406175,0.5246921257,-0.0657391125,-0.4951875793,0.4606168224
-0.0856229699,-0.1069754787,-0.1409088362,-0.0998827717,0.1150460673,-0.1131806471
-0.7631340845,-0.708340433,-0.8833985734,0.742818398,-0.3049340538,-0.8635560411
0.7781850191,-0.0516230221,0.4546082404,-0.1906657359,0.0556687925,0.3054643513
0.4023831449,-0.5544956541,0.2489399225,0.2932050339,-0.2806927575,0.2027576744
0.0512193244,0.0510401547,-0.1825231724,0.4493678947,0.299103002,0.0841315878
-0.203342193,-0.6857796014,-0.1039954158,0.4667819251,-0.0941080904,-0.1555253049
-0.0120635945,-0.1194595031,0.1818169391,0.0722311013,-0.1999607684,-0.1238891659
0.2294817588,-0.2887807354,-0.1075453672,0.2088925409,-0.0073264498,0.0938608212
0.1264446294,-0.3181575791,-0.1620553271,0.6688974787,-1.0063991279,-0.6134450639
-0.6530400494,0.1281017396,-0.5420346853,-0.1213163677,0.1892478343,-0.5589166938
-0.2990469543,-0.2229758366,-0.5784207642,0.6745314398,-0.4326292367,-0.0685589205
0.64890682,-0.2481385931,0.1742714203,0.5201694368,0.2530939148,0.2466522369
0.2543503846,0.0136529313,0.2637531259,0.2008757855,0.1856330822,0.2769666228
0.2610591948,0.1104825584,0.0260770828,-0.2816190183,-0.1577405975,0.2949305617
-0.1338186216,0.0369363296,0.1033680697,0.5411033162,0.1373238093,0.0695196039
-0.5200360522,-0.2410389611,-0.5923535879,0.5252056397,-0.179373877,-0.4724343593
0.4562042057,-0.8467605566,-0.1952653349,0.35232996,-0.0909896914,-0.0097810469
0.1693753845,0.5207881037,0.2787048029,0.0796084626,0.27669232,0.1748469074
-0.1594815174,-0.0852730995,-0.300714951,-0.1874482181,-0.2590069756,-0.4513218253
0.1943568695,0.1032853987,-0.2130457294,0.1153071613,0.3766701543,-0.2622070665
-0.7802007615,-0.2535213545,-0.8854671181,-0.168495293,-0.5491994544,-1.1865247412
-0.0853523376,-0.3652314629,-0.3201198297,0.8049732399,-0.5472494649,-0.6454741514
-0.0195332706,-0.3782674521,0.1347269267,0.2104310946,-0.3057252114,-0.0666116649
-0.1187681381,0.070410053,-0.1528466879,0.609499032,-0.0351278634,-0.1235378476
0.6671928227,-0.5664078847,-0.0180189739,0.4101516981,0.2547728968,0.2001705579
0.2608753117,0.03612479,0.2337087646,0.35155834,0.4711901238,0.3277134771
0.5336050688,-0.2371905623,0.5999803455,0.5135848678,0.7387414567,0.6924268414
-0.2674773444,-0.4085616068,-0.6868095215,1.0060837301,-0.6425288134,-0.5442695823
0.2269649763,0.0791834888,0.2533770259,0.104904709,0.1576060252,0.3018167038
-0.6876336934,-0.2955452805,0.0963362448,-0.6356901345,-0.6049554919,-0.0664098915
-0.3113964694,0.1924267722,-0.1327369792,0.4309936261,-0.0733133516,-0.2829611803
-0.2057243111,0.0359178201,-0.0690343268,0.3585193434,0.1927064558,-0.0615127904
0.0758102445,-0.5537120699,-0.3993574706,1.074973059,-0.7213750265,-0.4151070317
0.4254294061,-0.2333089203,0.8475447381,0.500064257,0.1141403985,0.5919002805
-0.0105130926,-0.2800635351,-0.0103141104,0.2556731949,0.1541686747,0.0115181692
-1.0267731318,-0.6956725836,-1.0884697592,0.7018121388,-0.4437556861,-1.289676223
0.3765148968,-0.3612491998,0.4087248164,0.5246121804,0.1218458918,0.1897079566
0.1004741051,0.5675224921,-0.5628126379,0.1731084286,0.5004002776,-0.5180325562
0.4465938713,0.0293296397,0.4519852996,0.3609562701,0.5005994143,0.3440543212
-0.254546349,-0.3108567623,-0.2277198393,-0.3301994804,0.1765467395,-0.1983006908
-0.2444867954,-0.3613221427,-0.3503276232,-0.6503666279,0.0035061361,-0.320381032
0.0934711243,0.2078392967,0.3336339275,-0.061469314,0.4956981976,0.4779672669
-0.1812518347,-0.3217098206,0.2594163531,0.1570029989,-0.2567262695,0.2349696795
0.1873460967,-0.0001374953,0.2320387082,0.1686090191,0.2704437816,0.1327652029
0.1693367071,-0.8196300569,-0.1412249625,0.7860821557,0.1554507893,-0.3569842789
0.1597664483,0.0469040332,0.2561819048,0.2113317758,0.4862983267,0.2533508217
-0.1229857866,-0.1045742131,0.0626066009,-0.0239748335,-0.2516374095,-0.0491396313
0.0635700014,-0.0222645471,-0.3550901812,0.1215904631,-0.1886070155,-0.1217860319
-0.4651696659,-0.1038105728,-0.5518265868,0.4945117264,0.0448756697,-0.087385807
-0.2829908911,-0.0720829159,-0.1661073362,0.3063535877,0.4275128185,-0.2195063521
0.017927032,-0.383990415,0.099038212,0.1975299892,0.0917872579,0.4155547569
-0.9253798151,-0.44352554,-1.4048178924,0.7172105344,-0.7123350753,-1.3997484245
-0.369066712,0.0339339229,-0.4546537321,0.0894583623,0.1920352786,-0.591853157
0.3200500724,-0.0283501777,-0.2030067665,-0.5250684158,-0.7097032342,-0.2687886574
-0.3674809988,-0.4631311397,-0.5170422091,0.5921094493,-0.2607550528,-0.6336867305
0.2260635217,-0.0428611958,0.3016410801,0.8879943246,0.2833403419,0.4396953642
-0.2124644849,-0.2447419329,-0.5768504792,0.2890025129,0.1495027043,-0.3853085832
0.7746584869,0.2056449519,0.2910663748,0.191815712,0.3201165041,0.2443380174
-0.4386929054,-0.1746778927,-0.6528311299,0.5573751538,-0.3965819528,-0.6078832069
0.2787812679,-0.1898662593,0.2535829497,-0.0455139959,0.3381215442,0.1558498522
0.5669143312,-0.1611525987,0.4925587064,0.0909063559,-0.2045604406,0.0679971486
0.4904339691,-1.6881290666,-0.085920104,-0.5035774573,0.3521817155,-0.5513043601
-0.1182027625,0.0180387755,-0.23246678,0.3719330946,0.3054510201,-0.0655438835
-0.0721149023,-0.1024556993,-0.1185484522,-0.1729793028,-0.0092164624,-0.2798750476
-0.1518028993,0.0497769801,-0.1123648531,0.2058347396,0.2953590899,0.298659352
-0.4491201669,-0.3948452533,-0.5815388318,-0.4922581018,-0.4332265597,-0.8320872995
0.2380699333,0.0969931919,0.2703853985,0.2918949703,0.1480776619,0.22112523
0.2646770078,-0.0483095745,0.1958529757,0.3712953238,0.2568283859,0.205275264
-0.6819591066,-0.3395813227,-0.7259936089,1.1668934546,-0.2488616473,-0.6238537529
0.4457924503,0.0032190972,0.582592061,0.3122123578,0.0009746605,0.1143837511
-0.0783059208,0.1097574443,-0.4020005648,0.1109425729,0.3115814106,-0.2455093888
-0.4822635194,-0.3286084756,-0.6034396032,0.2684160617,-0.2367076321,-0.5717157978
-0.4968664618,-0.0777278173,-0.1262368569,-0.1418015573,0.7153251518,-0.1887438639
-0.1816545203,0.324209086,0.0468442436,0.2491156498,0.2967852877,0.1402870714
-0.3700852646,-0.2537721972,-0.7566680809,-0.3140684659,-3.6000330055,-1.1239153006
0.2433749798,-0.04098397,0.1379550407,0.118511892,0.6528762198,-0.0330654655
-0.224397692,-0.4285752438,0.037250622,0.3097691398,-0.1723169438,-0.2498463305
-1.0458454358,-0.9860845682,-1.0799036597,0.6730947828,-1.789162939,-1.1747953058
0.4630064473,-0.3875728378,0.6322088088,-1.3642804295,0.4185458487,0.3965886652
-0.0097935282,-0.0350115673,-0.0627716518,0.1781269962,-0.0290835216,-0.1551824888
-0.8387230835,-0.1315632261,0.1379663453,0.4100276101,0.761581696,-0.2925602583
-0.1724983491,0.2471655126,-0.6745358422,0.4266477614,-0.0038152459,-0.6101064531
-0.4018809365,-0.1324385319,-0.5168360047,0.3893075869,-0.2111417416,-0.7024272918
0.1452743958,0.0371725342,0.1877546155,0.0061437026,-0.0604555992,0.0537268397
-0.6668539985,-0.2180076948,-0.381385079,0.1623302262,-0.547032944,-0.0300254219
-0.1284869986,0.1065815695,-0.1624469613,-0.2565689824,0.0745481773,-0.2227657424
0.0942956275,-0.1021161147,0.0512902249,-0.1419402697,-0.0113361899,0.0468062418
0.0269770406,-0.2890395991,0.252254585,0.3319935047,0.2641152132,-0.2311789141
-0.3016768906,-0.11750259,-0.2431704644,0.3091460426,-0.5709707256,-0.3492583414
-0.004500991,-0.0227151955,-0.2044428058,-0.049872148,0.19977599,0.0008817643
