ENSG00000273486
ENSG00000273387
ENSG00000273382
ENSG00000273373
ENSG00000273329
ENSG00000273314
ENSG00000273274
ENSG00000273270
ENSG00000273237
ENSG00000273230
ENSG00000273173
ENSG00000273117
ENSG00000273080
ENSG00000273066
ENSG00000273033
ENSG00000273015
ENSG00000273014
ENSG00000273001
ENSG00000272994
ENSG00000272977
ENSG00000272970
ENSG00000272944
ENSG00000272909
ENSG00000272902
ENSG00000272899
ENSG00000272888
ENSG00000272870
ENSG00000272831
ENSG00000272779
ENSG00000272769
ENSG00000272758
ENSG00000272711
ENSG00000272695
ENSG00000272688
ENSG00000272686
ENSG00000272667
ENSG00000272655
ENSG00000272654
ENSG00000272631
ENSG00000272462
ENSG00000272447
ENSG00000272405
ENSG00000272341
ENSG00000272335
ENSG00000272325
ENSG00000272323
ENSG00000272288
ENSG00000272240
ENSG00000272145
ENSG00000272129
ENSG00000272106
ENSG00000272086
ENSG00000272077
ENSG00000272070
ENSG00000272047
ENSG00000271959
ENSG00000271952
ENSG00000271918
ENSG00000271826
ENSG00000271780
ENSG00000271755
ENSG00000271643
ENSG00000271614
ENSG00000271533
ENSG00000271430
ENSG00000271369
ENSG00000271347
ENSG00000271335
ENSG00000271270
ENSG00000271122
ENSG00000271043
ENSG00000271020
ENSG00000270959
ENSG00000270704
ENSG00000270696
ENSG00000270362
ENSG00000270246
ENSG00000270189
ENSG00000270177
ENSG00000270175
ENSG00000270141
ENSG00000270103
ENSG00000270066
ENSG00000270039
ENSG00000270022
ENSG00000270021
ENSG00000269994
ENSG00000269973
ENSG00000269968
ENSG00000269958
ENSG00000269940
ENSG00000269929
ENSG00000269918
ENSG00000269893
ENSG00000269837
ENSG00000269834
ENSG00000269825
ENSG00000269821
ENSG00000269609
ENSG00000269416
ENSG00000269386
ENSG00000269374
ENSG00000269352
ENSG00000269343
ENSG00000269293
ENSG00000269190
ENSG00000269176
ENSG00000269113
ENSG00000269044
ENSG00000269028
ENSG00000268713
ENSG00000268575
ENSG00000268518
ENSG00000268516
ENSG00000268362
ENSG00000268225
ENSG00000268205
ENSG00000268119
ENSG00000268061
ENSG00000268049
ENSG00000268006
ENSG00000267919
ENSG00000267868
ENSG00000267858
ENSG00000267809
ENSG00000267744
ENSG00000267640
ENSG00000267577
ENSG00000267575
ENSG00000267508
ENSG00000267475
ENSG00000267470
ENSG00000267383
ENSG00000267365
