GO_Term_Id	GO_Term	pvalue	BH_pvalue	GO_Term_Gene_Total	Gene_Count_GO_Term	Gene_Ids
GO:0005739	mitochondrion	2.1981225597178e-35	4.43778963581426e-31	1680	258	ENSG00000142920, ENSG00000162600, ENSG00000143158, ENSG00000163050, ENSG00000162946, ENSG00000007923, ENSG00000132906, ENSG00000173436, ENSG00000117640, ENSG00000130770, ENSG00000214114, ENSG00000168653, ENSG00000123472, ENSG00000117054, ENSG00000085491, ENSG00000116459, ENSG00000178096, ENSG00000159445, ENSG00000158864, ENSG00000158882, ENSG00000143252, ENSG00000135828, ENSG00000117791, ENSG00000143753, ENSG00000143799, ENSG00000181873, ENSG00000183023, ENSG00000084090, ENSG00000115840, ENSG00000115419, ENSG00000115993, ENSG00000118260, ENSG00000021826, ENSG00000130414, ENSG00000240857, ENSG00000171103, ENSG00000218739, ENSG00000124370, ENSG00000135940, ENSG00000115468, ENSG00000182606, ENSG00000011376, ENSG00000172340, ENSG00000161203, ENSG00000113790, ENSG00000161267, ENSG00000134086, ENSG00000151093, ENSG00000181061, ENSG00000010256, ENSG00000178537, ENSG00000168291, ENSG00000178694, ENSG00000114021, ENSG00000174173, ENSG00000065518, ENSG00000136521, ENSG00000087008, ENSG00000163626, ENSG00000138777, ENSG00000129116, ENSG00000002549, ENSG00000163644, ENSG00000109320, ENSG00000170917, ENSG00000109390, ENSG00000171503, ENSG00000109576, ENSG00000124279, ENSG00000112992, ENSG00000131844, ENSG00000113273, ENSG00000155846, ENSG00000196743, ENSG00000073578, ENSG00000242110, ENSG00000016082, ENSG00000134056, ENSG00000127184, ENSG00000164904, ENSG00000164405, ENSG00000131495, ENSG00000197043, ENSG00000155868, ENSG00000146066, ENSG00000137274, ENSG00000185345, ENSG00000083123, ENSG00000135537, ENSG00000112096, ENSG00000137275, ENSG00000124523, ENSG00000137288, ENSG00000154079, ENSG00000112695, ENSG00000130349, ENSG00000175600, ENSG00000106049, ENSG00000127989, ENSG00000189043, ENSG00000106633, ENSG00000146729, ENSG00000176410, ENSG00000106077, ENSG00000005469, ENSG00000105854, ENSG00000196636, ENSG00000241468, ENSG00000091140, ENSG00000128609, ENSG00000243317, ENSG00000090266, ENSG00000197448, ENSG00000137547, ENSG00000147576, ENSG00000147586, ENSG00000164733, ENSG00000120885, ENSG00000133878, ENSG00000104325, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000086061, ENSG00000182150, ENSG00000119471, ENSG00000148175, ENSG00000119421, ENSG00000165264, ENSG00000136897, ENSG00000171169, ENSG00000182154, ENSG00000184831, ENSG00000102309, ENSG00000188917, ENSG00000165775, ENSG00000069509, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000196177, ENSG00000150054, ENSG00000122873, ENSG00000241935, ENSG00000197444, ENSG00000108064, ENSG00000166321, ENSG00000108179, ENSG00000166136, ENSG00000173915, ENSG00000165672, ENSG00000148824, ENSG00000148950, ENSG00000162337, ENSG00000075239, ENSG00000167985, ENSG00000110090, ENSG00000151376, ENSG00000214026, ENSG00000121653, ENSG00000213619, ENSG00000166902, ENSG00000213465, ENSG00000110717, ENSG00000109846, ENSG00000150779, ENSG00000204370, ENSG00000167283, ENSG00000174099, ENSG00000139437, ENSG00000139180, ENSG00000205707, ENSG00000174243, ENSG00000167588, ENSG00000135441, ENSG00000139531, ENSG00000135469, ENSG00000176422, ENSG00000076248, ENSG00000089163, ENSG00000088986, ENSG00000122971, ENSG00000176894, ENSG00000165487, ENSG00000150907, ENSG00000102738, ENSG00000197616, ENSG00000133943, ENSG00000125375, ENSG00000133983, ENSG00000213463, ENSG00000119673, ENSG00000119723, ENSG00000100577, ENSG00000183648, ENSG00000156411, ENSG00000137806, ENSG00000169032, ENSG00000137831, ENSG00000128928, ENSG00000166411, ENSG00000065057, ENSG00000186153, ENSG00000166548, ENSG00000167264, ENSG00000103202, ENSG00000180185, ENSG00000156885, ENSG00000088682, ENSG00000182810, ENSG00000103150, ENSG00000051523, ENSG00000176715, ENSG00000133026, ENSG00000172171, ENSG00000177370, ENSG00000167705, ENSG00000072778, ENSG00000129255, ENSG00000125434, ENSG00000108599, ENSG00000004139, ENSG00000183978, ENSG00000167863, ENSG00000125445, ENSG00000262814, ENSG00000141385, ENSG00000152234, ENSG00000180011, ENSG00000099795, ENSG00000160439, ENSG00000063241, ENSG00000115286, ENSG00000229833, ENSG00000105514, ENSG00000167815, ENSG00000105058, ENSG00000169021, ENSG00000126267, ENSG00000161281, ENSG00000104835, ENSG00000130748, ENSG00000161558, ENSG00000105379, ENSG00000105568, ENSG00000101019, ENSG00000215251, ENSG00000101247, ENSG00000197122, ENSG00000101181, ENSG00000154723, ENSG00000142168, ENSG00000241837, ENSG00000160221, ENSG00000069998, ENSG00000184076, ENSG00000100412, ENSG00000100243
GO:0022904	respiratory electron transport chain	1.28155434435296e-34	1.29366503290709e-30	122	52	ENSG00000168653, ENSG00000116459, ENSG00000158864, ENSG00000143252, ENSG00000115840, ENSG00000130414, ENSG00000135940, ENSG00000010256, ENSG00000065518, ENSG00000136521, ENSG00000109390, ENSG00000171503, ENSG00000073578, ENSG00000127184, ENSG00000164405, ENSG00000131495, ENSG00000189043, ENSG00000241468, ENSG00000091140, ENSG00000128609, ENSG00000090266, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000166136, ENSG00000167985, ENSG00000213619, ENSG00000110717, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000167588, ENSG00000125375, ENSG00000183648, ENSG00000137806, ENSG00000088682, ENSG00000167863, ENSG00000152234, ENSG00000099795, ENSG00000115286, ENSG00000169021, ENSG00000126267, ENSG00000105379, ENSG00000101247, ENSG00000154723, ENSG00000241837, ENSG00000184076
GO:0022900	electron transport chain	6.53143731230027e-34	4.39543959660101e-30	124	52	ENSG00000168653, ENSG00000116459, ENSG00000158864, ENSG00000143252, ENSG00000115840, ENSG00000130414, ENSG00000135940, ENSG00000010256, ENSG00000065518, ENSG00000136521, ENSG00000109390, ENSG00000171503, ENSG00000073578, ENSG00000127184, ENSG00000164405, ENSG00000131495, ENSG00000189043, ENSG00000241468, ENSG00000091140, ENSG00000128609, ENSG00000090266, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000166136, ENSG00000167985, ENSG00000213619, ENSG00000110717, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000167588, ENSG00000125375, ENSG00000183648, ENSG00000137806, ENSG00000088682, ENSG00000167863, ENSG00000152234, ENSG00000099795, ENSG00000115286, ENSG00000169021, ENSG00000126267, ENSG00000105379, ENSG00000101247, ENSG00000154723, ENSG00000241837, ENSG00000184076
GO:0045333	cellular respiration	3.95625500817664e-33	1.65485688600398e-29	189	66	ENSG00000142611, ENSG00000117640, ENSG00000168653, ENSG00000116459, ENSG00000158864, ENSG00000143252, ENSG00000138400, ENSG00000115840, ENSG00000130414, ENSG00000135940, ENSG00000172340, ENSG00000010256, ENSG00000168291, ENSG00000065518, ENSG00000136521, ENSG00000109390, ENSG00000171503, ENSG00000124279, ENSG00000112992, ENSG00000073578, ENSG00000127184, ENSG00000164405, ENSG00000131495, ENSG00000189043, ENSG00000241468, ENSG00000091140, ENSG00000128609, ENSG00000090266, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000122873, ENSG00000197444, ENSG00000166136, ENSG00000167985, ENSG00000151376, ENSG00000213619, ENSG00000110717, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000167588, ENSG00000135441, ENSG00000125375, ENSG00000183648, ENSG00000137806, ENSG00000166411, ENSG00000088682, ENSG00000167863, ENSG00000152234, ENSG00000099795, ENSG00000115286, ENSG00000169021, ENSG00000126267, ENSG00000105379, ENSG00000215251, ENSG00000101247, ENSG00000154723, ENSG00000241837, ENSG00000184076, ENSG00000100412
GO:0005743	mitochondrial inner membrane	4.09841221953535e-33	1.65485688600398e-29	468	106	ENSG00000162600, ENSG00000143158, ENSG00000007923, ENSG00000173436, ENSG00000130770, ENSG00000168653, ENSG00000085491, ENSG00000116459, ENSG00000159445, ENSG00000158864, ENSG00000143252, ENSG00000117791, ENSG00000115840, ENSG00000021826, ENSG00000130414, ENSG00000135940, ENSG00000115468, ENSG00000161267, ENSG00000181061, ENSG00000010256, ENSG00000178537, ENSG00000065518, ENSG00000136521, ENSG00000163626, ENSG00000109390, ENSG00000171503, ENSG00000112992, ENSG00000073578, ENSG00000134056, ENSG00000127184, ENSG00000164405, ENSG00000131495, ENSG00000146066, ENSG00000124523, ENSG00000137288, ENSG00000112695, ENSG00000189043, ENSG00000241468, ENSG00000128609, ENSG00000090266, ENSG00000197448, ENSG00000137547, ENSG00000147586, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000136897, ENSG00000182154, ENSG00000184831, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000108179, ENSG00000166136, ENSG00000173915, ENSG00000148824, ENSG00000148950, ENSG00000075239, ENSG00000110090, ENSG00000214026, ENSG00000213619, ENSG00000166902, ENSG00000110717, ENSG00000150779, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000135469, ENSG00000089163, ENSG00000165487, ENSG00000102738, ENSG00000125375, ENSG00000119723, ENSG00000183648, ENSG00000156411, ENSG00000137806, ENSG00000166548, ENSG00000103202, ENSG00000180185, ENSG00000156885, ENSG00000088682, ENSG00000177370, ENSG00000072778, ENSG00000125434, ENSG00000183978, ENSG00000167863, ENSG00000125445, ENSG00000262814, ENSG00000141385, ENSG00000152234, ENSG00000099795, ENSG00000160439, ENSG00000115286, ENSG00000169021, ENSG00000126267, ENSG00000161281, ENSG00000101019, ENSG00000101247, ENSG00000197122, ENSG00000101181, ENSG00000154723, ENSG00000241837, ENSG00000184076, ENSG00000100243
GO:0044429	mitochondrial part	8.63401877126102e-32	2.90520341621648e-28	903	162	ENSG00000162600, ENSG00000143158, ENSG00000007923, ENSG00000173436, ENSG00000130770, ENSG00000168653, ENSG00000117054, ENSG00000085491, ENSG00000116459, ENSG00000159445, ENSG00000158864, ENSG00000158882, ENSG00000143252, ENSG00000135828, ENSG00000117791, ENSG00000181873, ENSG00000115840, ENSG00000115419, ENSG00000021826, ENSG00000130414, ENSG00000218739, ENSG00000124370, ENSG00000135940, ENSG00000115468, ENSG00000011376, ENSG00000172340, ENSG00000161267, ENSG00000181061, ENSG00000010256, ENSG00000178537, ENSG00000168291, ENSG00000178694, ENSG00000174173, ENSG00000065518, ENSG00000136521, ENSG00000163626, ENSG00000138777, ENSG00000163644, ENSG00000109390, ENSG00000171503, ENSG00000109576, ENSG00000112992, ENSG00000131844, ENSG00000073578, ENSG00000134056, ENSG00000127184, ENSG00000164904, ENSG00000164405, ENSG00000131495, ENSG00000146066, ENSG00000083123, ENSG00000112096, ENSG00000124523, ENSG00000137288, ENSG00000154079, ENSG00000112695, ENSG00000106049, ENSG00000127989, ENSG00000189043, ENSG00000196636, ENSG00000241468, ENSG00000091140, ENSG00000128609, ENSG00000243317, ENSG00000090266, ENSG00000197448, ENSG00000137547, ENSG00000147576, ENSG00000147586, ENSG00000120885, ENSG00000104325, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000136897, ENSG00000182154, ENSG00000184831, ENSG00000102309, ENSG00000165775, ENSG00000069509, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000196177, ENSG00000122873, ENSG00000197444, ENSG00000108064, ENSG00000108179, ENSG00000166136, ENSG00000173915, ENSG00000165672, ENSG00000148824, ENSG00000148950, ENSG00000075239, ENSG00000167985, ENSG00000110090, ENSG00000151376, ENSG00000214026, ENSG00000121653, ENSG00000213619, ENSG00000166902, ENSG00000213465, ENSG00000110717, ENSG00000150779, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000135441, ENSG00000139531, ENSG00000135469, ENSG00000089163, ENSG00000122971, ENSG00000165487, ENSG00000102738, ENSG00000125375, ENSG00000133983, ENSG00000213463, ENSG00000119723, ENSG00000183648, ENSG00000156411, ENSG00000137806, ENSG00000128928, ENSG00000166411, ENSG00000166548, ENSG00000103202, ENSG00000180185, ENSG00000156885, ENSG00000088682, ENSG00000182810, ENSG00000103150, ENSG00000172171, ENSG00000177370, ENSG00000072778, ENSG00000125434, ENSG00000004139, ENSG00000183978, ENSG00000167863, ENSG00000125445, ENSG00000262814, ENSG00000141385, ENSG00000152234, ENSG00000099795, ENSG00000160439, ENSG00000115286, ENSG00000169021, ENSG00000126267, ENSG00000161281, ENSG00000104835, ENSG00000105379, ENSG00000101019, ENSG00000215251, ENSG00000101247, ENSG00000197122, ENSG00000101181, ENSG00000154723, ENSG00000142168, ENSG00000241837, ENSG00000184076, ENSG00000100412, ENSG00000100243
GO:0019866	organelle inner membrane	2.4056382021944e-31	6.93820423772896e-28	523	112	ENSG00000162600, ENSG00000143158, ENSG00000007923, ENSG00000173436, ENSG00000130770, ENSG00000168653, ENSG00000085491, ENSG00000116459, ENSG00000159445, ENSG00000158864, ENSG00000143252, ENSG00000143337, ENSG00000117791, ENSG00000115840, ENSG00000021826, ENSG00000130414, ENSG00000135940, ENSG00000189362, ENSG00000115468, ENSG00000161267, ENSG00000181061, ENSG00000010256, ENSG00000178537, ENSG00000065518, ENSG00000136521, ENSG00000163626, ENSG00000109390, ENSG00000171503, ENSG00000112992, ENSG00000073578, ENSG00000134056, ENSG00000127184, ENSG00000164405, ENSG00000015479, ENSG00000131495, ENSG00000146066, ENSG00000124523, ENSG00000137288, ENSG00000112695, ENSG00000164828, ENSG00000189043, ENSG00000241468, ENSG00000128609, ENSG00000090266, ENSG00000197448, ENSG00000137547, ENSG00000147586, ENSG00000156467, ENSG00000164919, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000136897, ENSG00000182154, ENSG00000184831, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000108179, ENSG00000166136, ENSG00000173915, ENSG00000148824, ENSG00000148950, ENSG00000075239, ENSG00000110090, ENSG00000214026, ENSG00000213619, ENSG00000166902, ENSG00000110717, ENSG00000150779, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000135469, ENSG00000120802, ENSG00000089163, ENSG00000165487, ENSG00000102738, ENSG00000125375, ENSG00000119723, ENSG00000183648, ENSG00000156411, ENSG00000137806, ENSG00000166949, ENSG00000166548, ENSG00000103202, ENSG00000180185, ENSG00000156885, ENSG00000088682, ENSG00000177370, ENSG00000072778, ENSG00000125434, ENSG00000183978, ENSG00000167863, ENSG00000125445, ENSG00000262814, ENSG00000141385, ENSG00000152234, ENSG00000099795, ENSG00000160439, ENSG00000115286, ENSG00000169021, ENSG00000126267, ENSG00000161281, ENSG00000101019, ENSG00000101247, ENSG00000197122, ENSG00000101181, ENSG00000154723, ENSG00000241837, ENSG00000184076, ENSG00000100243
GO:0070469	respiratory chain	9.73820015966588e-31	2.45755653779368e-27	78	38	ENSG00000168653, ENSG00000158864, ENSG00000143252, ENSG00000130414, ENSG00000181061, ENSG00000010256, ENSG00000065518, ENSG00000136521, ENSG00000109390, ENSG00000112992, ENSG00000073578, ENSG00000164405, ENSG00000131495, ENSG00000146066, ENSG00000112695, ENSG00000189043, ENSG00000128609, ENSG00000090266, ENSG00000156467, ENSG00000179091, ENSG00000119421, ENSG00000165264, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000166136, ENSG00000213619, ENSG00000110717, ENSG00000204370, ENSG00000139180, ENSG00000183648, ENSG00000137806, ENSG00000156885, ENSG00000099795, ENSG00000115286, ENSG00000169021, ENSG00000161281, ENSG00000184076
GO:0098800	inner mitochondrial membrane protein complex	3.01396718958149e-30	6.76099817671786e-27	103	43	ENSG00000130770, ENSG00000168653, ENSG00000116459, ENSG00000158864, ENSG00000143252, ENSG00000130414, ENSG00000010256, ENSG00000065518, ENSG00000136521, ENSG00000109390, ENSG00000073578, ENSG00000131495, ENSG00000189043, ENSG00000241468, ENSG00000128609, ENSG00000090266, ENSG00000156467, ENSG00000119421, ENSG00000165264, ENSG00000184831, ENSG00000147123, ENSG00000125356, ENSG00000108179, ENSG00000166136, ENSG00000173915, ENSG00000213619, ENSG00000110717, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000165487, ENSG00000183648, ENSG00000156411, ENSG00000137806, ENSG00000156885, ENSG00000167863, ENSG00000152234, ENSG00000099795, ENSG00000115286, ENSG00000169021, ENSG00000154723, ENSG00000241837, ENSG00000184076
GO:0044455	mitochondrial membrane part	7.40937412763982e-29	1.4958785426292e-25	170	56	ENSG00000130770, ENSG00000168653, ENSG00000116459, ENSG00000158864, ENSG00000143252, ENSG00000130414, ENSG00000010256, ENSG00000065518, ENSG00000136521, ENSG00000163626, ENSG00000109390, ENSG00000171503, ENSG00000112992, ENSG00000073578, ENSG00000131495, ENSG00000112695, ENSG00000189043, ENSG00000241468, ENSG00000128609, ENSG00000090266, ENSG00000156467, ENSG00000119421, ENSG00000165264, ENSG00000184831, ENSG00000165775, ENSG00000069509, ENSG00000147123, ENSG00000131174, ENSG00000125356, ENSG00000108179, ENSG00000166136, ENSG00000173915, ENSG00000110090, ENSG00000213619, ENSG00000110717, ENSG00000204370, ENSG00000167283, ENSG00000139180, ENSG00000165487, ENSG00000213463, ENSG00000183648, ENSG00000156411, ENSG00000137806, ENSG00000156885, ENSG00000004139, ENSG00000183978, ENSG00000167863, ENSG00000152234, ENSG00000099795, ENSG00000115286, ENSG00000169021, ENSG00000161281, ENSG00000101247, ENSG00000154723, ENSG00000241837, ENSG00000184076
